id;partido;candidato;valor_gasto;tipo_gasto;estado
221;PT;Cand_6;152736.29;Eventos;SP
222;MDB;Cand_1;125025.31;Eventos;SP
223;PL;Cand_16;227976.41;Propaganda;AM
224;PSDB;Cand_17;96705.9;Eventos;BA
225;PSDB;Cand_11;394413.63;Redes Sociais;AM
226;PL;Cand_10;59361.35;Propaganda;RJ
227;PL;Cand_19;176727.66;Pesquisa;AM
228;PT;Cand_2;442026.66;Eventos;BA
229;PSOL;Cand_4;304730.0;Propaganda;BA
230;PL;Cand_9;476465.84;Propaganda;RJ
231;MDB;Cand_11;412257.44;Pesquisa;BA
232;PL;Cand_14;425489.81;Pesquisa;BA
233;PT;Cand_11;475467.79;Propaganda;AM
234;PSDB;Cand_12;26897.51;Propaganda;MG
235;PT;Cand_8;233692.81;Eventos;AM
236;PSOL;Cand_14;452016.57;Logística;AM
237;PL;Cand_5;123028.45;Redes Sociais;RJ
238;PL;Cand_15;227672.63;Pesquisa;BA
239;PL;Cand_18;182675.19;Propaganda;MG
240;PT;Cand_13;184701.29;Redes Sociais;BA
241;PT;Cand_9;486827.01;Logística;BA
242;PSDB;Cand_18;289866.13;Eventos;BA
243;PSDB;Cand_9;68005.79;Logística;MG
244;MDB;Cand_13;234926.02;Propaganda;AM
245;PSOL;Cand_18;60012.82;Eventos;BA
246;PSOL;Cand_15;138777.47;Eventos;BA
247;PT;Cand_2;98579.87;Redes Sociais;RJ
248;PT;Cand_4;366886.45;Logística;SP
249;PT;Cand_15;321570.84;Redes Sociais;RJ
250;PL;Cand_6;464409.68;Eventos;RJ
251;PSDB;Cand_15;422759.38;Propaganda;AM
252;PT;Cand_7;236229.51;Eventos;SP
253;PSOL;Cand_3;124772.13;Redes Sociais;RJ
254;PSDB;Cand_17;101852.92;Eventos;SP
255;MDB;Cand_4;433342.34;Logística;BA
256;MDB;Cand_12;116215.95;Eventos;SP
257;PSOL;Cand_7;35069.3;Redes Sociais;SP
258;PSDB;Cand_11;145980.3;Pesquisa;AM
259;PT;Cand_12;65687.25;Pesquisa;BA
260;PL;Cand_4;469773.24;Logística;BA
261;PT;Cand_2;326580.49;Redes Sociais;MG
262;MDB;Cand_7;134837.73;Pesquisa;AM
263;PSOL;Cand_20;394950.27;Eventos;RJ
264;PSOL;Cand_20;454331.8;Logística;MG
265;PL;Cand_18;483121.78;Redes Sociais;SP
266;PT;Cand_16;419663.48;Logística;MG
267;PL;Cand_15;474418.44;Logística;BA
268;PSOL;Cand_13;425210.95;Logística;RJ
269;PL;Cand_12;484571.92;Pesquisa;BA
270;PSDB;Cand_20;64461.54;Eventos;MG
271;PSDB;Cand_15;58427.82;Pesquisa;AM
272;PSOL;Cand_20;204562.13;Redes Sociais;RJ
273;MDB;Cand_9;176118.46;Logística;SP
274;PSOL;Cand_4;406751.27;Logística;AM
275;PSDB;Cand_7;99883.0;Propaganda;BA
276;MDB;Cand_1;185294.06;Logística;SP
277;PSOL;Cand_2;4883.14;Pesquisa;RJ
278;MDB;Cand_18;156605.55;Redes Sociais;RJ
279;PL;Cand_9;2716.55;Logística;AM
280;PL;Cand_6;375598.42;Eventos;BA
281;PSDB;Cand_15;351657.9;Logística;MG
282;MDB;Cand_4;159306.88;Logística;AM
283;PT;Cand_1;428804.21;Logística;SP
284;PT;Cand_16;153580.35;Propaganda;SP
285;PT;Cand_9;80053.74;Logística;RJ
286;MDB;Cand_12;87722.43;Logística;BA
287;PL;Cand_5;477189.48;Eventos;RJ
288;PSOL;Cand_18;22854.17;Propaganda;MG
289;PT;Cand_15;50707.55;Redes Sociais;RJ
290;PL;Cand_9;271611.07;Propaganda;AM
291;PT;Cand_19;168393.51;Propaganda;BA
292;PSOL;Cand_5;85111.45;Propaganda;MG
293;MDB;Cand_13;136291.57;Eventos;AM
294;MDB;Cand_8;497883.82;Redes Sociais;RJ
295;PT;Cand_4;272915.3;Pesquisa;SP
296;PL;Cand_1;217628.76;Pesquisa;MG
297;PT;Cand_12;128169.35;Pesquisa;RJ
298;MDB;Cand_17;9176.53;Logística;AM
299;PSOL;Cand_10;355428.39;Redes Sociais;AM
300;MDB;Cand_20;315712.19;Eventos;RJ
301;PL;Cand_12;48354.95;Logística;SP
302;MDB;Cand_5;323970.19;Propaganda;SP
303;PSDB;Cand_5;146666.53;Logística;MG
304;PSDB;Cand_1;413359.98;Propaganda;SP
305;PSOL;Cand_17;222313.84;Redes Sociais;AM
306;PL;Cand_17;165509.7;Pesquisa;SP
307;PL;Cand_12;257731.31;Redes Sociais;AM
308;MDB;Cand_8;357854.69;Logística;SP
309;PL;Cand_18;265990.46;Redes Sociais;AM
310;PL;Cand_18;208171.31;Pesquisa;BA
311;MDB;Cand_8;315556.07;Pesquisa;MG
312;PT;Cand_10;137355.1;Redes Sociais;MG
313;PT;Cand_14;440174.27;Pesquisa;BA
314;PSOL;Cand_18;185358.72;Pesquisa;RJ
315;PL;Cand_6;382325.1;Propaganda;RJ
316;PSDB;Cand_1;225179.91;Redes Sociais;AM
317;PL;Cand_13;129288.95;Redes Sociais;BA
318;PL;Cand_13;5968.07;Eventos;SP
319;PT;Cand_5;463155.48;Propaganda;BA
320;PT;Cand_20;330224.77;Pesquisa;AM
321;PSOL;Cand_12;391109.9;Eventos;MG
322;MDB;Cand_14;439381.23;Eventos;RJ
323;PL;Cand_3;155936.13;Eventos;RJ
324;PSDB;Cand_4;32960.52;Propaganda;BA
325;PL;Cand_8;491531.61;Redes Sociais;MG
326;PSOL;Cand_7;234544.64;Pesquisa;BA
327;PT;Cand_10;200901.84;Pesquisa;AM
328;PSDB;Cand_12;223099.62;Redes Sociais;RJ
329;PSDB;Cand_13;406781.74;Eventos;RJ
330;PSDB;Cand_5;230296.68;Redes Sociais;RJ
331;PSOL;Cand_5;154985.74;Eventos;AM
332;PL;Cand_2;321208.91;Propaganda;MG
333;PSOL;Cand_2;285111.88;Logística;SP
334;PSOL;Cand_20;465268.7;Logística;RJ
335;PSOL;Cand_12;31535.53;Eventos;RJ
336;PT;Cand_16;259858.81;Logística;AM
337;PSOL;Cand_16;153517.74;Eventos;SP
338;PT;Cand_6;464041.25;Propaganda;SP
339;PL;Cand_16;292798.39;Pesquisa;BA
340;PSDB;Cand_18;454931.31;Eventos;AM
341;PL;Cand_5;65787.37;Logística;MG
342;PSOL;Cand_4;461315.74;Eventos;RJ
343;PSOL;Cand_11;365297.96;Redes Sociais;BA
344;PSOL;Cand_5;8177.79;Redes Sociais;MG
345;PL;Cand_17;7286.38;Logística;RJ
346;PL;Cand_19;215630.22;Propaganda;SP
347;MDB;Cand_2;377097.09;Pesquisa;BA
348;PSDB;Cand_3;169745.78;Redes Sociais;BA
349;PSDB;Cand_9;129670.0;Pesquisa;AM
350;PL;Cand_12;42643.48;Redes Sociais;AM
351;PSDB;Cand_6;18213.52;Logística;RJ
352;PL;Cand_19;454794.0;Pesquisa;SP
353;MDB;Cand_1;293568.01;Propaganda;AM
354;MDB;Cand_2;127665.63;Eventos;RJ
355;PSOL;Cand_8;301970.72;Pesquisa;AM
356;PL;Cand_15;98468.94;Redes Sociais;RJ
357;MDB;Cand_20;24747.52;Eventos;RJ
358;PT;Cand_13;290223.13;Logística;MG
359;PL;Cand_13;234141.79;Eventos;SP
360;PSOL;Cand_4;374580.64;Eventos;BA
361;PSOL;Cand_2;227823.67;Redes Sociais;RJ
362;MDB;Cand_13;230157.18;Logística;AM
363;PL;Cand_18;361492.98;Redes Sociais;MG
364;PT;Cand_17;419934.94;Propaganda;BA
365;PSOL;Cand_10;56557.33;Logística;BA
366;PL;Cand_11;238855.53;Redes Sociais;RJ
367;PT;Cand_20;114005.67;Logística;RJ
368;PSDB;Cand_13;316810.22;Redes Sociais;BA
369;PSOL;Cand_16;466380.34;Propaganda;BA
370;PL;Cand_3;22648.97;Eventos;RJ
371;PL;Cand_11;354169.58;Pesquisa;BA
372;PT;Cand_10;3778.12;Pesquisa;SP
373;MDB;Cand_14;270530.97;Logística;BA
374;PSOL;Cand_4;4806.45;Pesquisa;MG
375;PL;Cand_13;74166.26;Redes Sociais;AM
376;PSDB;Cand_7;372522.26;Eventos;AM
377;PL;Cand_20;32914.4;Eventos;AM
378;PSDB;Cand_3;477367.53;Redes Sociais;AM
379;PSOL;Cand_9;205025.36;Eventos;AM
380;MDB;Cand_8;183272.51;Logística;MG
381;MDB;Cand_5;241473.06;Propaganda;SP
382;PL;Cand_10;87247.29;Propaganda;SP
383;MDB;Cand_6;401879.88;Propaganda;SP
384;PT;Cand_13;59415.76;Pesquisa;MG
385;MDB;Cand_1;317296.92;Pesquisa;BA
386;PT;Cand_3;90568.44;Pesquisa;MG
387;PSOL;Cand_8;246275.96;Propaganda;RJ
388;PT;Cand_18;407306.54;Redes Sociais;RJ
389;PSDB;Cand_13;201717.25;Redes Sociais;BA
390;MDB;Cand_6;282535.46;Redes Sociais;AM
391;PL;Cand_5;160176.26;Redes Sociais;AM
392;MDB;Cand_3;238947.23;Eventos;AM
393;PT;Cand_3;480519.09;Logística;MG
394;PSOL;Cand_1;255675.54;Propaganda;AM
395;PL;Cand_15;138551.62;Eventos;AM
396;MDB;Cand_7;484713.27;Propaganda;RJ
397;PSOL;Cand_17;24153.84;Redes Sociais;BA
398;PSOL;Cand_12;37373.76;Logística;BA
399;PL;Cand_11;156213.23;Eventos;BA
400;PT;Cand_20;68316.3;Eventos;MG
401;PSOL;Cand_9;122404.85;Redes Sociais;BA
402;PT;Cand_15;351576.59;Redes Sociais;SP
403;PSDB;Cand_17;460262.08;Eventos;MG
404;MDB;Cand_20;220245.41;Pesquisa;RJ
405;MDB;Cand_13;462717.57;Eventos;RJ
406;PSDB;Cand_20;311159.0;Pesquisa;SP
407;PL;Cand_17;449990.05;Eventos;AM
408;PL;Cand_4;423555.87;Pesquisa;BA
409;PSDB;Cand_18;264239.48;Propaganda;RJ
410;PSOL;Cand_7;168331.01;Logística;BA
411;PL;Cand_8;196883.99;Pesquisa;SP
412;PL;Cand_11;239295.35;Eventos;AM
413;MDB;Cand_14;308579.58;Redes Sociais;AM
414;PSOL;Cand_13;345544.69;Pesquisa;BA
415;PT;Cand_12;339350.98;Pesquisa;AM
416;PL;Cand_12;406163.5;Pesquisa;SP
417;PSDB;Cand_13;84716.78;Logística;BA
418;PSDB;Cand_7;79358.31;Propaganda;RJ
419;MDB;Cand_10;110556.94;Logística;RJ
420;PL;Cand_17;358052.76;Logística;SP
421;PSOL;Cand_13;437493.57;Propaganda;SP
422;PSDB;Cand_2;394433.15;Pesquisa;AM
423;PL;Cand_13;250919.97;Logística;BA
424;PSDB;Cand_12;283072.17;Eventos;AM
425;PSDB;Cand_9;42105.98;Eventos;MG
426;PSOL;Cand_8;51120.3;Propaganda;RJ
427;PSOL;Cand_1;368225.5;Eventos;MG
428;MDB;Cand_2;459324.23;Logística;BA
429;PT;Cand_18;396423.21;Redes Sociais;AM
430;PT;Cand_10;126125.56;Propaganda;MG
431;PSDB;Cand_2;143507.33;Propaganda;AM
432;MDB;Cand_10;433817.9;Redes Sociais;AM
433;PL;Cand_18;205988.76;Redes Sociais;BA
434;PL;Cand_16;167211.39;Redes Sociais;RJ
435;PSDB;Cand_20;195088.22;Redes Sociais;RJ
436;PSOL;Cand_19;313150.75;Propaganda;RJ
437;MDB;Cand_17;132652.9;Logística;MG
438;PSDB;Cand_4;36427.22;Pesquisa;BA
439;PSOL;Cand_6;73737.39;Logística;MG
440;PSDB;Cand_16;472997.62;Propaganda;BA
441;PSDB;Cand_18;499353.25;Eventos;RJ
442;MDB;Cand_11;321528.4;Redes Sociais;SP
443;PSOL;Cand_15;385055.18;Redes Sociais;SP
444;MDB;Cand_17;79714.97;Logística;BA
445;PSOL;Cand_12;6629.37;Eventos;AM
446;PT;Cand_8;287901.45;Logística;MG
447;PSDB;Cand_16;343316.57;Propaganda;SP
448;PSOL;Cand_3;29075.6;Redes Sociais;RJ
449;PSOL;Cand_9;356523.62;Propaganda;RJ
450;PSOL;Cand_15;130693.91;Eventos;AM
451;PL;Cand_10;483446.25;Propaganda;AM
452;MDB;Cand_13;72117.79;Redes Sociais;MG
453;PSOL;Cand_6;189961.27;Redes Sociais;MG
454;PSOL;Cand_4;258026.51;Eventos;SP
455;PL;Cand_15;254733.29;Redes Sociais;BA
456;MDB;Cand_1;39321.72;Eventos;MG
457;PSOL;Cand_15;217281.29;Pesquisa;AM
458;PSDB;Cand_3;384763.85;Redes Sociais;AM
459;PSDB;Cand_15;413964.21;Propaganda;BA
460;PT;Cand_4;291717.24;Eventos;AM
461;MDB;Cand_18;454136.19;Pesquisa;RJ
462;PSDB;Cand_14;348809.38;Logística;MG
463;PT;Cand_4;197993.48;Pesquisa;SP
464;PT;Cand_16;39007.06;Pesquisa;SP
465;PL;Cand_20;87437.46;Logística;RJ
466;PSOL;Cand_6;278836.62;Eventos;AM
467;PT;Cand_15;440796.91;Propaganda;SP
468;MDB;Cand_18;81827.15;Redes Sociais;MG
469;PL;Cand_8;240136.48;Propaganda;AM
470;PSOL;Cand_12;242218.95;Eventos;RJ
471;PSOL;Cand_15;318885.25;Eventos;AM
472;PSDB;Cand_12;446137.77;Redes Sociais;AM
473;PSDB;Cand_10;288109.39;Propaganda;RJ
474;MDB;Cand_9;261155.16;Eventos;RJ
475;MDB;Cand_5;425153.96;Redes Sociais;MG
476;PL;Cand_14;153881.36;Eventos;SP
477;PSDB;Cand_1;20493.36;Redes Sociais;MG
478;MDB;Cand_13;423166.3;Propaganda;RJ
479;MDB;Cand_17;486767.72;Redes Sociais;MG
480;PSDB;Cand_7;23184.74;Pesquisa;AM
481;PL;Cand_6;405978.16;Eventos;SP
482;PSOL;Cand_9;95392.22;Eventos;MG
483;PT;Cand_10;134074.56;Logística;SP
484;PL;Cand_20;237135.39;Eventos;BA
485;PSOL;Cand_8;270679.38;Eventos;SP
486;PSDB;Cand_15;315764.57;Eventos;RJ
487;PL;Cand_5;149067.04;Eventos;BA
488;PSDB;Cand_18;214504.16;Propaganda;SP
489;PSOL;Cand_18;180018.63;Logística;SP
490;PL;Cand_18;303828.37;Logística;MG
491;PSOL;Cand_15;236148.52;Logística;RJ
492;PSDB;Cand_2;244343.39;Pesquisa;AM
493;PSDB;Cand_4;219015.35;Propaganda;MG
494;PSOL;Cand_4;426792.69;Logística;RJ
495;PSDB;Cand_18;142073.4;Logística;RJ
496;MDB;Cand_20;92241.96;Redes Sociais;AM
497;PSDB;Cand_12;136021.5;Logística;RJ
498;PSDB;Cand_17;285275.67;Pesquisa;AM
499;PL;Cand_15;206936.6;Pesquisa;AM
500;PSDB;Cand_6;105792.02;Redes Sociais;RJ
501;PL;Cand_7;350206.61;Propaganda;MG
502;MDB;Cand_9;396886.89;Eventos;RJ
503;MDB;Cand_4;232531.75;Propaganda;RJ
504;PSDB;Cand_16;468820.24;Propaganda;RJ
505;PL;Cand_19;302223.43;Redes Sociais;SP
506;MDB;Cand_12;379445.08;Logística;MG
507;PL;Cand_1;156737.02;Eventos;MG
508;PT;Cand_18;166868.24;Logística;BA
509;PT;Cand_5;443827.91;Logística;SP
510;PSDB;Cand_3;462255.68;Redes Sociais;AM
511;PT;Cand_15;126202.06;Redes Sociais;AM
512;PT;Cand_7;361433.27;Redes Sociais;BA
513;PSDB;Cand_17;148708.41;Eventos;MG
514;PT;Cand_11;246347.83;Redes Sociais;BA
515;MDB;Cand_16;190168.16;Eventos;BA
516;MDB;Cand_15;320500.44;Logística;BA
517;PL;Cand_8;171696.3;Pesquisa;RJ
518;PSOL;Cand_8;123730.85;Logística;SP
519;PSDB;Cand_6;86358.08;Redes Sociais;BA
520;PL;Cand_8;246010.67;Eventos;SP
521;PT;Cand_19;251306.51;Propaganda;SP
522;MDB;Cand_16;419947.92;Redes Sociais;BA
523;PSOL;Cand_13;327727.68;Redes Sociais;SP
524;PL;Cand_19;144840.25;Logística;MG
525;PT;Cand_6;184600.5;Propaganda;AM
526;PL;Cand_3;55095.45;Eventos;BA
527;PSDB;Cand_9;146157.81;Propaganda;AM
528;PSOL;Cand_17;207193.25;Logística;AM
529;MDB;Cand_13;164559.7;Redes Sociais;SP
530;PSDB;Cand_13;174050.56;Eventos;MG
531;PT;Cand_19;125236.55;Propaganda;MG
532;MDB;Cand_8;443005.06;Redes Sociais;BA
533;PL;Cand_17;368533.63;Propaganda;MG
534;PSOL;Cand_3;283397.03;Pesquisa;MG
