id;cidade;idade;genero;candidato;renda
237;Manaus;32;M;Candidato B;Média
238;Belém;50;F;Candidato C;Baixa
239;Fortaleza;38;F;Candidato C;Média
240;Belém;79;F;Candidato B;Média
241;Belém;43;M;Candidato C;Alta
242;Fortaleza;57;F;Candidato A;Média
243;Fortaleza;40;F;Candidato C;Média
244;Recife;57;F;Candidato C;Média
245;Fortaleza;33;M;Candidato A;Baixa
246;Recife;58;F;Candidato A;Média
247;Belém;71;M;Candidato C;Baixa
248;Belém;29;M;Candidato C;Média
249;Fortaleza;47;M;Candidato B;Alta
250;Salvador;48;M;Candidato A;Alta
251;Fortaleza;50;M;Candidato A;Média
252;Recife;28;F;Candidato A;Baixa
253;Belém;51;M;Candidato C;Alta
254;Belém;25;M;Candidato C;Alta
255;Recife;18;M;Candidato C;Média
256;Belém;77;M;Candidato A;Baixa
257;Belém;42;M;Candidato A;Baixa
258;Fortaleza;17;F;Candidato A;Baixa
259;Manaus;74;M;Candidato C;Média
260;Salvador;19;M;Candidato A;Alta
261;Fortaleza;72;M;Candidato B;Baixa
262;Fortaleza;63;F;Candidato A;Alta
263;Fortaleza;25;F;Candidato A;Média
264;Belém;64;M;Candidato B;Média
265;Manaus;79;M;Candidato C;Média
266;Salvador;38;F;Candidato C;Média
267;Fortaleza;37;M;Candidato A;Média
268;Fortaleza;75;F;Candidato A;Alta
269;Fortaleza;63;F;Candidato A;Alta
270;Recife;43;F;Candidato A;Baixa
271;Manaus;44;M;Candidato C;Alta
272;Belém;30;F;Candidato C;Média
273;Salvador;80;M;Candidato A;Baixa
274;Recife;73;M;Candidato C;Baixa
275;Manaus;79;F;Candidato A;Baixa
276;Manaus;58;M;Candidato B;Alta
277;Manaus;38;M;Candidato C;Média
278;Manaus;78;F;Candidato B;Média
279;Manaus;32;F;Candidato B;Média
280;Recife;76;F;Candidato A;Alta
281;Belém;28;F;Candidato C;Média
282;Fortaleza;52;F;Candidato A;Média
283;Manaus;67;M;Candidato C;Baixa
284;Fortaleza;78;F;Candidato B;Alta
285;Recife;33;M;Candidato B;Baixa
286;Recife;68;F;Candidato C;Média
287;Manaus;29;M;Candidato C;Baixa
288;Fortaleza;77;F;Candidato A;Média
289;Salvador;45;M;Candidato B;Baixa
290;Belém;44;F;Candidato B;Média
291;Manaus;69;M;Candidato C;Alta
292;Manaus;44;M;Candidato C;Alta
293;Salvador;62;F;Candidato A;Média
294;Manaus;78;M;Candidato A;Média
295;Recife;74;M;Candidato B;Alta
296;Fortaleza;24;F;Candidato C;Baixa
297;Manaus;19;F;Candidato A;Média
298;Manaus;76;F;Candidato A;Média
299;Fortaleza;54;F;Candidato B;Média
300;Belém;62;M;Candidato B;Baixa
301;Salvador;47;F;Candidato C;Baixa
302;Manaus;36;F;Candidato B;Alta
303;Fortaleza;72;M;Candidato A;Baixa
304;Belém;69;M;Candidato A;Média
305;Fortaleza;69;M;Candidato A;Alta
306;Recife;17;F;Candidato B;Baixa
307;Salvador;71;M;Candidato A;Média
308;Belém;70;M;Candidato A;Média
309;Fortaleza;36;F;Candidato B;Baixa
310;Manaus;21;M;Candidato A;Alta
311;Manaus;62;F;Candidato C;Baixa
312;Fortaleza;27;M;Candidato B;Média
313;Recife;19;M;Candidato A;Média
314;Salvador;20;F;Candidato C;Baixa
315;Manaus;23;F;Candidato C;Média
316;Recife;46;M;Candidato B;Baixa
317;Belém;40;F;Candidato C;Baixa
318;Fortaleza;54;M;Candidato A;Alta
319;Salvador;61;F;Candidato B;Média
320;Recife;18;F;Candidato A;Baixa
321;Fortaleza;50;M;Candidato A;Média
322;Recife;38;F;Candidato B;Alta
323;Fortaleza;22;F;Candidato C;Alta
324;Belém;67;F;Candidato A;Média
325;Belém;55;M;Candidato C;Média
326;Recife;32;M;Candidato A;Baixa
327;Fortaleza;34;F;Candidato B;Alta
328;Belém;59;F;Candidato C;Baixa
329;Recife;18;M;Candidato C;Baixa
330;Manaus;64;M;Candidato B;Baixa
331;Salvador;79;M;Candidato B;Alta
332;Recife;74;M;Candidato C;Baixa
333;Belém;61;F;Candidato C;Média
334;Fortaleza;46;M;Candidato C;Baixa
335;Manaus;26;M;Candidato B;Média
336;Salvador;24;F;Candidato A;Média
337;Manaus;48;F;Candidato B;Média
338;Manaus;78;F;Candidato C;Alta
339;Fortaleza;43;M;Candidato A;Alta
340;Belém;33;F;Candidato B;Média
341;Salvador;56;F;Candidato C;Média
342;Recife;36;M;Candidato B;Média
343;Recife;18;F;Candidato C;Média
344;Salvador;80;M;Candidato A;Baixa
345;Recife;50;M;Candidato A;Baixa
346;Salvador;18;F;Candidato B;Média
347;Recife;21;M;Candidato C;Alta
348;Salvador;44;F;Candidato C;Média
349;Manaus;63;M;Candidato B;Alta
350;Manaus;49;F;Candidato C;Alta
351;Manaus;29;M;Candidato A;Alta
352;Recife;45;M;Candidato B;Média
353;Recife;16;M;Candidato A;Média
354;Fortaleza;33;F;Candidato B;Média
355;Recife;42;M;Candidato B;Baixa
356;Manaus;28;M;Candidato B;Alta
357;Manaus;73;F;Candidato A;Média
358;Belém;79;F;Candidato A;Média
359;Belém;46;M;Candidato B;Baixa
360;Fortaleza;66;F;Candidato B;Alta
361;Fortaleza;30;F;Candidato B;Alta
362;Fortaleza;54;M;Candidato A;Baixa
363;Fortaleza;73;M;Candidato A;Baixa
364;Belém;46;M;Candidato B;Média
365;Belém;69;F;Candidato A;Média
366;Belém;61;F;Candidato C;Baixa
367;Fortaleza;55;M;Candidato A;Alta
368;Manaus;47;F;Candidato B;Baixa
369;Belém;31;F;Candidato C;Alta
370;Salvador;61;F;Candidato B;Média
371;Manaus;30;M;Candidato B;Baixa
372;Salvador;22;F;Candidato A;Alta
373;Belém;36;M;Candidato C;Média
374;Manaus;75;M;Candidato C;Média
375;Salvador;27;M;Candidato A;Média
376;Belém;29;F;Candidato A;Baixa
377;Salvador;71;F;Candidato A;Baixa
378;Manaus;74;M;Candidato B;Média
379;Fortaleza;60;M;Candidato A;Alta
380;Salvador;59;F;Candidato B;Alta
381;Recife;29;F;Candidato B;Alta
382;Belém;49;M;Candidato B;Alta
383;Recife;39;F;Candidato A;Baixa
384;Recife;50;F;Candidato B;Baixa
385;Recife;42;M;Candidato B;Baixa
386;Fortaleza;49;F;Candidato B;Alta
387;Salvador;59;F;Candidato A;Alta
388;Salvador;47;F;Candidato C;Baixa
389;Belém;23;F;Candidato C;Média
390;Fortaleza;27;M;Candidato C;Baixa
391;Fortaleza;31;M;Candidato A;Média
392;Manaus;32;M;Candidato A;Média
393;Recife;62;M;Candidato C;Média
394;Belém;19;M;Candidato B;Média
395;Salvador;39;M;Candidato B;Média
396;Fortaleza;74;F;Candidato C;Baixa
397;Salvador;34;M;Candidato A;Alta
398;Belém;55;F;Candidato A;Alta
399;Fortaleza;37;M;Candidato C;Baixa
400;Recife;39;M;Candidato C;Alta
401;Recife;31;M;Candidato B;Baixa
402;Recife;47;F;Candidato A;Baixa
403;Recife;45;M;Candidato B;Média
404;Belém;38;M;Candidato B;Média
405;Salvador;43;F;Candidato B;Média
406;Belém;80;M;Candidato B;Média
407;Belém;63;M;Candidato A;Alta
408;Salvador;60;M;Candidato C;Baixa
409;Recife;19;M;Candidato C;Alta
410;Belém;42;F;Candidato A;Alta
411;Fortaleza;61;M;Candidato A;Alta
412;Recife;26;F;Candidato A;Alta
413;Recife;80;F;Candidato A;Média
414;Belém;71;M;Candidato B;Baixa
415;Belém;34;M;Candidato A;Média
416;Manaus;30;M;Candidato B;Média
417;Recife;69;F;Candidato B;Média
418;Manaus;48;M;Candidato B;Baixa
419;Fortaleza;77;F;Candidato C;Baixa
420;Recife;79;M;Candidato B;Alta
421;Manaus;45;M;Candidato B;Alta
422;Belém;18;M;Candidato B;Alta
423;Belém;77;M;Candidato B;Alta
424;Belém;41;F;Candidato B;Baixa
425;Fortaleza;45;F;Candidato A;Baixa
426;Fortaleza;35;F;Candidato A;Alta
427;Salvador;76;M;Candidato A;Baixa
428;Belém;65;M;Candidato B;Baixa
429;Fortaleza;77;M;Candidato C;Baixa
430;Salvador;78;M;Candidato B;Baixa
431;Belém;58;F;Candidato A;Baixa
432;Belém;18;M;Candidato C;Média
433;Fortaleza;40;M;Candidato B;Média
434;Recife;60;F;Candidato B;Alta
435;Salvador;73;M;Candidato A;Baixa
436;Belém;29;M;Candidato C;Baixa
437;Salvador;45;M;Candidato C;Baixa
438;Recife;63;M;Candidato A;Alta
439;Manaus;64;F;Candidato A;Média
440;Salvador;51;F;Candidato A;Média
441;Salvador;46;F;Candidato A;Baixa
442;Fortaleza;49;M;Candidato C;Alta
443;Fortaleza;21;M;Candidato A;Média
444;Manaus;24;M;Candidato C;Média
445;Belém;42;M;Candidato A;Média
446;Manaus;44;F;Candidato A;Alta
447;Belém;42;F;Candidato B;Alta
448;Fortaleza;20;M;Candidato A;Média
449;Manaus;57;F;Candidato A;Baixa
450;Manaus;54;F;Candidato C;Alta
451;Belém;68;F;Candidato A;Alta
452;Manaus;51;M;Candidato B;Alta
453;Fortaleza;74;F;Candidato B;Média
454;Recife;65;F;Candidato C;Baixa
455;Salvador;22;F;Candidato C;Média
456;Salvador;22;M;Candidato C;Alta
457;Belém;62;M;Candidato A;Média
458;Belém;18;F;Candidato B;Alta
459;Salvador;44;M;Candidato A;Baixa
460;Salvador;23;F;Candidato A;Média
461;Belém;23;M;Candidato C;Alta
462;Salvador;22;M;Candidato C;Alta
463;Salvador;57;M;Candidato A;Baixa
464;Fortaleza;76;F;Candidato B;Baixa
465;Salvador;41;M;Candidato B;Baixa
466;Fortaleza;20;M;Candidato A;Baixa
467;Salvador;76;F;Candidato B;Alta
468;Fortaleza;65;M;Candidato C;Alta
469;Salvador;32;M;Candidato A;Alta
470;Fortaleza;55;M;Candidato B;Baixa
471;Recife;57;F;Candidato C;Alta
472;Fortaleza;73;M;Candidato B;Baixa
473;Manaus;30;F;Candidato B;Baixa
474;Fortaleza;55;M;Candidato A;Alta
475;Fortaleza;33;F;Candidato C;Alta
476;Salvador;16;M;Candidato C;Alta
477;Belém;25;F;Candidato A;Alta
478;Salvador;69;F;Candidato C;Alta
479;Manaus;23;F;Candidato C;Média
480;Manaus;29;M;Candidato B;Média
481;Fortaleza;48;M;Candidato C;Baixa
482;Fortaleza;41;F;Candidato C;Média
483;Belém;33;M;Candidato B;Média
484;Belém;67;F;Candidato C;Média
485;Belém;62;F;Candidato B;Média
486;Manaus;36;M;Candidato A;Baixa
487;Salvador;42;M;Candidato A;Média
488;Manaus;38;F;Candidato B;Baixa
489;Recife;39;F;Candidato A;Baixa
490;Belém;38;F;Candidato B;Média
491;Fortaleza;49;M;Candidato C;Média
492;Fortaleza;62;F;Candidato A;Média
493;Recife;35;F;Candidato C;Alta
494;Recife;22;M;Candidato C;Média
495;Fortaleza;46;M;Candidato C;Média
496;Recife;31;M;Candidato B;Alta
497;Belém;46;F;Candidato A;Média
498;Belém;37;M;Candidato B;Alta
499;Salvador;77;F;Candidato A;Média
500;Salvador;66;M;Candidato B;Alta
501;Fortaleza;67;F;Candidato C;Alta
502;Fortaleza;44;M;Candidato A;Baixa
503;Salvador;52;M;Candidato A;Baixa
504;Fortaleza;17;F;Candidato C;Baixa
505;Recife;19;M;Candidato B;Média
506;Fortaleza;60;M;Candidato B;Baixa
507;Fortaleza;46;F;Candidato C;Média
508;Belém;53;F;Candidato B;Média
509;Recife;18;M;Candidato C;Média
510;Fortaleza;53;M;Candidato B;Alta
511;Salvador;25;F;Candidato C;Baixa
512;Belém;35;M;Candidato C;Alta
513;Belém;34;M;Candidato B;Média
514;Salvador;38;M;Candidato A;Alta
515;Fortaleza;67;M;Candidato B;Baixa
516;Belém;56;F;Candidato C;Baixa
517;Manaus;71;F;Candidato B;Alta
518;Belém;42;F;Candidato C;Baixa
519;Belém;52;M;Candidato B;Alta
520;Manaus;69;F;Candidato B;Alta
521;Manaus;52;F;Candidato B;Média
522;Recife;34;F;Candidato A;Média
523;Manaus;59;M;Candidato A;Média
524;Fortaleza;51;F;Candidato B;Alta
525;Fortaleza;22;F;Candidato C;Baixa
526;Manaus;71;M;Candidato A;Alta
527;Recife;34;M;Candidato A;Baixa
528;Manaus;78;M;Candidato C;Alta
529;Belém;27;M;Candidato C;Alta
530;Salvador;21;M;Candidato B;Baixa
531;Manaus;30;M;Candidato A;Baixa
532;Salvador;58;M;Candidato C;Média
533;Salvador;66;F;Candidato C;Média
534;Manaus;51;M;Candidato B;Média
535;Salvador;39;M;Candidato B;Baixa
536;Recife;62;F;Candidato C;Alta
537;Salvador;16;F;Candidato A;Média
538;Fortaleza;61;M;Candidato A;Baixa
539;Fortaleza;21;F;Candidato B;Alta
540;Salvador;47;F;Candidato C;Média
541;Recife;78;M;Candidato A;Alta
542;Fortaleza;33;F;Candidato B;Baixa
543;Recife;38;F;Candidato B;Alta
544;Recife;78;F;Candidato C;Baixa
545;Recife;67;F;Candidato B;Média
546;Belém;56;M;Candidato C;Média
547;Salvador;53;F;Candidato B;Alta
548;Fortaleza;30;F;Candidato C;Alta
549;Recife;50;F;Candidato A;Média
550;Belém;69;M;Candidato B;Baixa
551;Salvador;36;F;Candidato C;Média
552;Manaus;48;M;Candidato B;Baixa
553;Belém;22;M;Candidato C;Baixa
554;Fortaleza;74;M;Candidato B;Média
555;Manaus;57;M;Candidato A;Alta
556;Salvador;70;M;Candidato C;Alta
557;Manaus;33;M;Candidato A;Média
558;Belém;74;F;Candidato C;Baixa
559;Recife;56;M;Candidato A;Média
560;Salvador;38;M;Candidato B;Baixa
561;Belém;51;M;Candidato B;Média
562;Fortaleza;61;F;Candidato A;Média
563;Manaus;35;F;Candidato C;Alta
564;Manaus;33;F;Candidato B;Média
565;Manaus;25;M;Candidato A;Média
566;Manaus;48;M;Candidato B;Média
567;Recife;79;F;Candidato B;Alta
568;Fortaleza;26;F;Candidato B;Alta
569;Belém;56;M;Candidato B;Alta
570;Salvador;24;M;Candidato A;Média
571;Manaus;74;M;Candidato A;Média
572;Recife;49;M;Candidato B;Baixa
573;Salvador;49;M;Candidato A;Baixa
574;Manaus;22;F;Candidato B;Média
575;Recife;43;F;Candidato C;Alta
576;Salvador;38;M;Candidato A;Alta
577;Fortaleza;79;F;Candidato C;Média
578;Recife;64;F;Candidato B;Baixa
579;Belém;77;M;Candidato A;Baixa
580;Salvador;57;M;Candidato C;Média
581;Salvador;45;M;Candidato B;Alta
582;Manaus;58;F;Candidato A;Média
583;Belém;60;M;Candidato A;Alta
584;Recife;73;F;Candidato A;Média
585;Recife;26;F;Candidato C;Baixa
586;Belém;34;F;Candidato C;Baixa
587;Manaus;33;M;Candidato A;Alta
588;Manaus;16;F;Candidato B;Média
589;Recife;17;M;Candidato B;Alta
590;Salvador;52;F;Candidato A;Alta
591;Belém;29;M;Candidato B;Baixa
592;Manaus;34;F;Candidato A;Baixa
593;Fortaleza;16;M;Candidato C;Baixa
594;Recife;34;F;Candidato A;Alta
595;Manaus;37;F;Candidato A;Média
596;Belém;73;M;Candidato A;Média
597;Fortaleza;19;F;Candidato A;Alta
598;Salvador;74;F;Candidato B;Alta
599;Salvador;27;M;Candidato C;Média
600;Salvador;36;F;Candidato B;Baixa
601;Belém;72;F;Candidato C;Média
602;Salvador;54;F;Candidato B;Média
603;Salvador;18;M;Candidato C;Alta
604;Salvador;74;F;Candidato A;Média
605;Manaus;24;F;Candidato A;Baixa
606;Manaus;32;M;Candidato C;Média
607;Salvador;48;M;Candidato A;Baixa
608;Recife;37;F;Candidato A;Baixa
609;Salvador;40;F;Candidato B;Baixa
610;Recife;29;F;Candidato A;Alta
611;Fortaleza;78;M;Candidato A;Alta
612;Salvador;62;F;Candidato A;Baixa
613;Salvador;34;M;Candidato C;Alta
614;Recife;53;F;Candidato A;Baixa
615;Belém;57;M;Candidato B;Baixa
616;Fortaleza;32;F;Candidato A;Média
617;Salvador;76;F;Candidato A;Alta
618;Salvador;45;F;Candidato C;Alta
619;Fortaleza;19;F;Candidato C;Média
620;Recife;32;F;Candidato A;Média
621;Salvador;71;M;Candidato C;Alta
622;Recife;79;M;Candidato B;Alta
623;Recife;74;M;Candidato B;Baixa
624;Belém;17;F;Candidato C;Alta
625;Recife;21;M;Candidato B;Média
626;Manaus;75;M;Candidato C;Baixa
627;Fortaleza;47;M;Candidato A;Baixa
628;Salvador;42;F;Candidato C;Alta
629;Salvador;38;M;Candidato A;Média
630;Belém;59;M;Candidato C;Alta
631;Manaus;27;M;Candidato C;Alta
632;Recife;42;F;Candidato B;Média
633;Belém;23;M;Candidato B;Alta
634;Recife;70;M;Candidato A;Baixa
635;Belém;24;M;Candidato B;Alta
636;Fortaleza;30;M;Candidato C;Baixa
637;Recife;76;M;Candidato A;Média
638;Fortaleza;80;M;Candidato B;Baixa
639;Fortaleza;63;M;Candidato B;Média
640;Belém;45;M;Candidato B;Baixa
641;Fortaleza;44;M;Candidato C;Baixa
642;Manaus;69;F;Candidato A;Baixa
643;Recife;50;M;Candidato B;Alta
644;Salvador;70;M;Candidato B;Baixa
645;Salvador;19;M;Candidato B;Alta
646;Belém;59;M;Candidato B;Alta
647;Manaus;45;F;Candidato B;Baixa
648;Belém;48;M;Candidato B;Média
649;Manaus;34;F;Candidato C;Baixa
650;Recife;44;F;Candidato C;Alta
651;Salvador;59;F;Candidato A;Média
652;Recife;39;M;Candidato A;Baixa
653;Fortaleza;16;F;Candidato B;Baixa
654;Salvador;39;M;Candidato A;Alta
655;Salvador;50;M;Candidato C;Média
656;Fortaleza;68;F;Candidato C;Baixa
657;Manaus;67;F;Candidato C;Alta
658;Salvador;24;M;Candidato B;Baixa
659;Belém;19;F;Candidato C;Alta
660;Recife;80;F;Candidato A;Baixa
661;Belém;80;M;Candidato A;Média
662;Recife;38;M;Candidato A;Alta
663;Belém;70;F;Candidato A;Alta
664;Fortaleza;43;M;Candidato C;Média
