id_deputado;nome;partido;estado;presencas;faltas;ano
43;Dep_14;PSOL;SP;69;19;2022
15;Dep_47;PL;AM;98;19;2023
50;Dep_39;PSOL;AM;78;35;2024
22;Dep_32;PL;BA;20;12;2024
35;Dep_9;PT;AM;75;48;2022
1;Dep_28;PT;SP;40;5;2023
19;Dep_35;PL;RJ;72;5;2023
1;Dep_14;PSDB;SP;70;0;2025
29;Dep_29;PSDB;AM;52;32;2022
40;Dep_2;PT;SP;12;5;2025
1;Dep_28;PT;SP;8;18;2025
14;Dep_18;PSDB;RJ;79;30;2025
11;Dep_32;MDB;BA;39;20;2023
23;Dep_38;PSDB;AM;53;36;2023
5;Dep_30;PSDB;AM;44;46;2022
7;Dep_11;MDB;SP;99;19;2024
39;Dep_19;PL;BA;91;40;2023
30;Dep_41;PT;BA;76;35;2024
48;Dep_44;MDB;MG;4;44;2025
31;Dep_39;PL;RJ;50;42;2024
32;Dep_25;PSOL;BA;53;43;2025
23;Dep_39;PT;MG;87;15;2023
11;Dep_2;PL;AM;88;26;2022
7;Dep_19;PSDB;BA;90;19;2024
47;Dep_4;PSDB;BA;1;40;2025
27;Dep_18;PSOL;RJ;1;24;2023
29;Dep_25;PL;BA;4;25;2022
6;Dep_12;PSOL;BA;67;21;2022
18;Dep_5;PSOL;SP;24;20;2025
39;Dep_45;MDB;BA;12;23;2025
22;Dep_35;PT;AM;1;6;2024
5;Dep_38;PT;MG;4;0;2025
42;Dep_16;PSOL;RJ;31;11;2023
40;Dep_34;PSOL;SP;34;15;2022
12;Dep_2;PL;MG;65;37;2024
10;Dep_36;MDB;AM;10;28;2024
15;Dep_40;PT;RJ;99;41;2023
46;Dep_41;PL;SP;49;8;2025
9;Dep_38;PT;RJ;81;19;2024
30;Dep_17;MDB;AM;4;43;2025
13;Dep_31;MDB;AM;40;13;2023
15;Dep_38;MDB;BA;56;41;2022
44;Dep_10;PT;RJ;49;26;2023
36;Dep_41;MDB;MG;39;3;2024
33;Dep_19;PSDB;AM;65;44;2023
7;Dep_46;PT;MG;30;9;2022
21;Dep_37;MDB;SP;32;34;2025
30;Dep_20;PSDB;MG;28;15;2022
39;Dep_35;PSDB;MG;56;12;2024
13;Dep_23;PSDB;RJ;61;6;2025
9;Dep_43;PSDB;BA;8;3;2024
10;Dep_22;PT;SP;55;14;2025
10;Dep_13;PT;SP;61;46;2024
5;Dep_15;PSOL;RJ;55;14;2024
37;Dep_30;PSOL;AM;75;36;2025
26;Dep_34;PT;RJ;31;35;2022
49;Dep_15;PT;AM;93;33;2024
3;Dep_34;PSOL;MG;100;17;2024
46;Dep_21;PT;BA;25;17;2024
48;Dep_34;PT;MG;82;7;2022
2;Dep_27;PSDB;SP;77;21;2025
35;Dep_41;PL;MG;52;37;2022
7;Dep_34;PSDB;AM;72;5;2024
13;Dep_23;PSOL;AM;82;23;2025
47;Dep_36;MDB;AM;11;19;2024
21;Dep_48;PT;AM;75;14;2024
13;Dep_2;PL;BA;64;17;2024
34;Dep_20;PT;SP;93;49;2022
8;Dep_18;PL;BA;83;37;2022
6;Dep_6;PSOL;AM;92;15;2023
16;Dep_31;PSDB;AM;90;23;2025
11;Dep_5;MDB;SP;100;24;2022
31;Dep_12;MDB;AM;75;24;2023
35;Dep_14;MDB;MG;34;47;2022
31;Dep_18;PSDB;AM;23;22;2024
43;Dep_49;PL;MG;73;23;2022
29;Dep_35;PSDB;AM;82;30;2023
42;Dep_45;MDB;MG;81;28;2024
15;Dep_32;PSDB;SP;75;41;2023
12;Dep_37;PSDB;RJ;69;17;2025
33;Dep_25;PL;RJ;86;5;2025
50;Dep_30;PT;SP;27;48;2025
24;Dep_50;PL;AM;49;44;2025
22;Dep_36;MDB;MG;77;11;2023
30;Dep_38;MDB;SP;56;50;2023
43;Dep_39;PSDB;MG;20;46;2022
18;Dep_45;PSOL;MG;42;16;2025
48;Dep_50;MDB;SP;33;47;2024
47;Dep_10;PSOL;MG;15;4;2024
16;Dep_13;PL;AM;59;29;2022
21;Dep_38;PSOL;AM;63;26;2025
45;Dep_43;MDB;RJ;57;13;2023
29;Dep_21;MDB;BA;55;18;2022
38;Dep_34;PSDB;RJ;58;45;2024
28;Dep_47;PSOL;MG;51;12;2025
34;Dep_43;PSDB;MG;5;47;2024
25;Dep_6;PSOL;RJ;75;38;2025
12;Dep_13;PL;RJ;28;15;2024
14;Dep_44;PSOL;RJ;50;36;2024
1;Dep_44;PSDB;MG;92;48;2022
26;Dep_40;PT;AM;78;32;2023
26;Dep_41;PSDB;BA;55;15;2024
28;Dep_9;PL;BA;68;5;2025
30;Dep_12;PSOL;RJ;35;13;2025
9;Dep_48;MDB;RJ;80;23;2025
31;Dep_9;PT;MG;12;31;2025
19;Dep_1;PL;BA;43;27;2024
17;Dep_19;PT;BA;12;15;2025
21;Dep_41;MDB;MG;4;29;2023
18;Dep_20;PSDB;AM;76;43;2023
2;Dep_13;PL;SP;3;49;2025
36;Dep_12;PL;RJ;18;40;2024
33;Dep_8;PL;SP;60;26;2022
19;Dep_37;PT;BA;53;34;2022
22;Dep_20;PT;SP;57;30;2023
41;Dep_14;PSDB;SP;17;42;2022
36;Dep_38;PSOL;BA;7;45;2023
41;Dep_16;PSDB;RJ;53;11;2023
7;Dep_23;PL;SP;59;49;2022
23;Dep_30;PSDB;SP;42;46;2025
44;Dep_32;PSOL;BA;37;7;2022
31;Dep_43;PT;RJ;13;44;2024
20;Dep_3;MDB;RJ;57;15;2022
47;Dep_45;PSOL;BA;10;15;2025
24;Dep_40;PSOL;RJ;7;13;2025
4;Dep_17;PSDB;SP;71;20;2024
30;Dep_1;MDB;SP;1;42;2022
39;Dep_15;PSDB;AM;7;23;2022
32;Dep_43;PL;BA;85;21;2023
36;Dep_45;PSDB;RJ;1;2;2025
48;Dep_30;PSDB;BA;9;4;2025
47;Dep_49;MDB;BA;69;12;2022
3;Dep_49;PSDB;SP;30;20;2022
10;Dep_25;PSDB;MG;20;50;2023
6;Dep_26;PL;BA;93;41;2024
1;Dep_20;MDB;AM;89;16;2023
42;Dep_37;PL;RJ;32;20;2023
43;Dep_25;MDB;AM;15;20;2025
23;Dep_25;PSOL;SP;21;17;2022
36;Dep_3;PSDB;MG;5;5;2023
50;Dep_12;PL;RJ;86;16;2024
7;Dep_23;PL;AM;75;10;2024
43;Dep_47;PSDB;RJ;84;48;2024
33;Dep_18;PT;RJ;7;47;2024
1;Dep_32;PSOL;RJ;30;21;2024
40;Dep_5;MDB;BA;98;48;2023
30;Dep_6;MDB;SP;43;34;2023
34;Dep_32;PSDB;MG;38;11;2022
23;Dep_34;MDB;MG;45;40;2024
50;Dep_16;PT;AM;48;29;2025
45;Dep_5;MDB;SP;93;25;2023
1;Dep_8;MDB;BA;37;27;2022
40;Dep_46;PSDB;AM;74;25;2022
41;Dep_43;PSOL;MG;15;10;2023
23;Dep_27;MDB;RJ;82;46;2023
48;Dep_36;PSDB;RJ;52;17;2022
45;Dep_28;PL;MG;2;34;2025
23;Dep_14;PT;AM;93;30;2024
14;Dep_39;PT;AM;2;47;2023
28;Dep_41;PSOL;BA;93;15;2023
45;Dep_31;PL;AM;70;17;2025
2;Dep_5;PT;RJ;39;15;2022
28;Dep_44;PT;SP;92;44;2023
35;Dep_25;PSOL;SP;2;32;2025
24;Dep_41;PSDB;MG;96;4;2022
21;Dep_48;PSOL;SP;13;16;2023
22;Dep_42;PT;BA;48;3;2022
4;Dep_35;PL;SP;34;2;2025
31;Dep_21;PT;SP;14;2;2022
37;Dep_6;PSDB;AM;23;49;2023
1;Dep_44;PSDB;SP;19;22;2025
49;Dep_8;PSDB;BA;78;2;2025
2;Dep_9;PSDB;RJ;87;18;2023
11;Dep_40;PL;AM;4;27;2022
2;Dep_5;PL;AM;76;6;2025
20;Dep_44;PSDB;SP;85;0;2023
9;Dep_35;PSOL;SP;28;9;2022
41;Dep_44;MDB;AM;8;14;2023
20;Dep_44;PSOL;RJ;14;27;2023
32;Dep_28;PT;AM;29;12;2022
27;Dep_31;PL;MG;45;3;2022
34;Dep_11;PL;BA;58;31;2025
49;Dep_42;PL;MG;56;29;2025
18;Dep_24;PT;RJ;62;3;2024
20;Dep_40;PSOL;SP;4;38;2025
36;Dep_33;MDB;RJ;59;37;2023
25;Dep_10;PT;AM;28;18;2024
3;Dep_39;PL;BA;33;38;2023
47;Dep_36;PL;MG;99;7;2025
17;Dep_21;PL;SP;43;10;2022
42;Dep_5;PSOL;BA;47;27;2024
26;Dep_29;PSOL;BA;97;40;2024
5;Dep_25;MDB;MG;27;8;2023
3;Dep_43;MDB;MG;64;30;2025
30;Dep_37;PSOL;BA;53;38;2024
40;Dep_8;PL;SP;39;9;2024
18;Dep_22;PL;AM;29;8;2025
34;Dep_10;PL;RJ;15;10;2023
7;Dep_11;PL;MG;39;9;2022
32;Dep_31;PSDB;AM;95;15;2025
49;Dep_7;PL;SP;68;17;2024
29;Dep_20;PSOL;MG;6;46;2024
17;Dep_47;MDB;AM;56;37;2025
17;Dep_12;PSDB;SP;17;46;2022
14;Dep_13;MDB;RJ;40;38;2022
14;Dep_21;PL;SP;72;29;2022
35;Dep_42;PT;MG;55;18;2023
37;Dep_48;PSDB;MG;51;34;2023
37;Dep_18;PT;BA;100;46;2024
4;Dep_22;PSDB;BA;10;3;2022
4;Dep_11;PSDB;BA;7;6;2022
23;Dep_25;PSOL;AM;19;22;2024
32;Dep_27;MDB;MG;44;45;2022
19;Dep_6;PT;RJ;40;21;2023
23;Dep_36;PT;RJ;7;11;2024
11;Dep_25;PSOL;MG;98;22;2022
38;Dep_37;PSOL;MG;88;39;2024
12;Dep_20;MDB;AM;23;29;2025
10;Dep_10;PSOL;MG;20;45;2025
1;Dep_23;PL;MG;43;38;2025
26;Dep_47;PL;SP;77;36;2024
24;Dep_7;PT;AM;87;26;2023
39;Dep_4;PL;MG;100;3;2024
20;Dep_31;PSDB;MG;66;34;2023
23;Dep_19;PSDB;RJ;81;34;2025
28;Dep_36;PSOL;MG;73;44;2025
19;Dep_38;PSOL;RJ;50;35;2022
10;Dep_25;PT;AM;77;18;2023
31;Dep_28;PSOL;AM;89;34;2024
17;Dep_9;PSOL;AM;64;11;2022
5;Dep_6;PT;AM;57;1;2022
49;Dep_50;PL;BA;69;33;2025
39;Dep_46;MDB;RJ;64;14;2023
5;Dep_7;PL;RJ;93;47;2024
25;Dep_6;PT;AM;80;42;2022
40;Dep_26;MDB;BA;95;22;2024
1;Dep_38;MDB;BA;34;1;2025
9;Dep_44;PSDB;AM;41;7;2023
30;Dep_10;PT;MG;48;45;2024
25;Dep_48;MDB;BA;99;36;2024
7;Dep_22;MDB;SP;94;49;2023
31;Dep_35;PSOL;AM;60;26;2024
25;Dep_9;MDB;AM;73;3;2023
39;Dep_40;PSOL;BA;2;38;2025
14;Dep_32;PSOL;SP;80;27;2023
24;Dep_26;PSOL;MG;39;42;2022
23;Dep_32;MDB;AM;68;24;2024
42;Dep_19;PSDB;MG;12;22;2024
18;Dep_20;PL;AM;21;50;2024
48;Dep_50;MDB;BA;44;25;2023
45;Dep_31;PT;SP;4;29;2022
35;Dep_23;PSDB;SP;35;30;2022
30;Dep_49;PSOL;BA;51;48;2023
4;Dep_6;PSDB;RJ;56;21;2025
11;Dep_41;PSDB;SP;4;23;2024
2;Dep_36;MDB;MG;15;49;2023
20;Dep_3;MDB;BA;22;37;2025
27;Dep_48;PL;AM;16;28;2025
18;Dep_27;PSOL;SP;99;19;2025
18;Dep_20;PSOL;RJ;74;19;2025
19;Dep_37;PSOL;SP;64;2;2024
34;Dep_39;PT;RJ;97;37;2022
3;Dep_7;PSDB;SP;10;23;2023
11;Dep_27;PT;SP;88;30;2024
26;Dep_42;MDB;BA;61;25;2023
21;Dep_31;MDB;RJ;53;37;2023
26;Dep_35;PL;AM;54;47;2023
37;Dep_21;PL;BA;54;15;2025
15;Dep_47;MDB;MG;56;17;2025
6;Dep_15;MDB;RJ;53;40;2024
16;Dep_32;PSOL;SP;98;2;2025
5;Dep_13;PSDB;AM;8;12;2023
2;Dep_14;PL;RJ;68;25;2024
45;Dep_7;PSDB;MG;82;23;2022
24;Dep_26;PSOL;AM;14;50;2025
48;Dep_23;PL;MG;90;15;2023
44;Dep_7;PT;BA;72;5;2023
11;Dep_11;PT;AM;86;3;2022
37;Dep_43;PSDB;MG;99;10;2025
34;Dep_5;PT;RJ;79;37;2025
41;Dep_35;PSDB;SP;11;48;2022
15;Dep_36;PT;AM;62;17;2025
26;Dep_50;PT;MG;71;15;2025
50;Dep_3;PL;SP;8;23;2023
30;Dep_25;MDB;AM;86;19;2025
25;Dep_46;MDB;MG;37;22;2024
5;Dep_31;MDB;SP;38;20;2025
2;Dep_11;MDB;MG;46;15;2024
23;Dep_3;PL;SP;20;10;2022
6;Dep_20;PT;SP;27;30;2022
25;Dep_9;PSDB;BA;6;32;2023
41;Dep_1;MDB;RJ;38;17;2022
4;Dep_14;PSOL;RJ;50;44;2023
46;Dep_43;PSOL;MG;13;44;2025
42;Dep_37;PSDB;SP;59;48;2024
32;Dep_30;PSOL;AM;40;20;2024
10;Dep_45;PL;RJ;21;34;2023
24;Dep_4;MDB;MG;28;17;2022
40;Dep_27;PSDB;RJ;29;21;2022
25;Dep_44;MDB;MG;19;38;2022
2;Dep_46;PT;RJ;24;28;2023
25;Dep_41;PSDB;AM;11;19;2022
44;Dep_20;MDB;RJ;97;28;2024
21;Dep_22;PSOL;BA;14;24;2024
27;Dep_34;MDB;RJ;52;45;2024
9;Dep_31;PSOL;AM;33;34;2023
20;Dep_24;PSDB;AM;92;34;2024
37;Dep_38;PT;MG;48;29;2024
2;Dep_36;MDB;BA;91;41;2025
24;Dep_40;PL;SP;21;23;2024
13;Dep_26;PSOL;AM;1;26;2024
34;Dep_44;MDB;SP;99;9;2022
32;Dep_26;PL;SP;76;38;2025
49;Dep_34;PT;RJ;96;36;2025
28;Dep_48;PT;SP;62;21;2022
43;Dep_2;PL;MG;79;20;2025
25;Dep_31;MDB;MG;49;11;2024
24;Dep_36;PL;AM;20;23;2024
10;Dep_46;MDB;SP;57;27;2025
23;Dep_10;MDB;MG;51;19;2024
16;Dep_2;PL;BA;91;6;2023
30;Dep_2;PSDB;BA;91;4;2025
50;Dep_34;MDB;AM;8;43;2024
43;Dep_19;PSOL;AM;32;6;2025
13;Dep_19;PL;RJ;70;28;2022
1;Dep_37;PL;MG;31;43;2023
4;Dep_36;PSOL;MG;15;14;2023
30;Dep_39;PSOL;RJ;53;43;2024
46;Dep_31;MDB;MG;87;48;2025
37;Dep_8;PSDB;RJ;52;3;2022
38;Dep_16;PT;RJ;60;47;2024
45;Dep_36;PSDB;MG;86;15;2025
21;Dep_33;PSDB;MG;27;10;2024
36;Dep_26;MDB;MG;99;36;2022
21;Dep_49;PSOL;BA;88;37;2022
33;Dep_12;PSOL;AM;91;8;2024
21;Dep_36;PSDB;RJ;2;45;2025
31;Dep_21;MDB;AM;68;5;2022
44;Dep_22;PT;AM;84;3;2022
2;Dep_25;MDB;BA;40;6;2022
44;Dep_3;PL;BA;90;37;2022
46;Dep_7;PSOL;SP;22;33;2025
43;Dep_4;PT;RJ;13;38;2025
21;Dep_5;PL;SP;63;31;2024
24;Dep_13;PSDB;BA;73;22;2024
5;Dep_16;MDB;AM;50;26;2023
47;Dep_2;MDB;SP;43;1;2025
32;Dep_30;PL;MG;82;21;2023
28;Dep_39;PSOL;AM;4;32;2024
36;Dep_15;MDB;BA;51;41;2022
39;Dep_39;PL;BA;21;19;2025
38;Dep_28;PL;BA;56;31;2025
38;Dep_28;PL;SP;13;1;2023
34;Dep_15;PSOL;AM;54;47;2022
7;Dep_10;MDB;AM;96;49;2025
13;Dep_1;MDB;BA;77;8;2025
14;Dep_20;MDB;SP;80;6;2025
35;Dep_39;PSDB;MG;20;36;2024
2;Dep_13;MDB;BA;73;2;2023
36;Dep_35;PT;AM;70;10;2025
36;Dep_48;PT;MG;1;23;2022
46;Dep_10;PSDB;AM;91;5;2022
2;Dep_18;PSOL;AM;26;47;2022
40;Dep_1;PSDB;AM;18;32;2022
25;Dep_25;PSOL;SP;6;49;2023
4;Dep_10;PSOL;SP;99;11;2025
45;Dep_49;PT;RJ;49;21;2025
31;Dep_39;PSDB;BA;64;30;2023
7;Dep_19;MDB;MG;91;11;2022
6;Dep_26;MDB;RJ;9;20;2023
18;Dep_24;PT;SP;44;45;2025
42;Dep_2;PSOL;BA;18;27;2025
43;Dep_31;PT;AM;58;38;2022
8;Dep_48;MDB;MG;100;30;2025
27;Dep_42;PSOL;BA;55;5;2025
4;Dep_33;PSOL;SP;18;38;2022
2;Dep_25;PSOL;BA;25;44;2023
21;Dep_32;PSOL;RJ;26;16;2022
48;Dep_15;MDB;SP;39;6;2025
23;Dep_13;PL;MG;74;40;2022
1;Dep_12;MDB;AM;81;29;2025
36;Dep_41;PSOL;SP;75;47;2022
25;Dep_42;MDB;RJ;80;2;2022
7;Dep_45;PSDB;RJ;11;10;2023
41;Dep_7;PL;BA;39;4;2023
18;Dep_40;PT;MG;86;33;2023
29;Dep_15;PSDB;AM;99;37;2025
17;Dep_18;PSOL;SP;99;13;2025
4;Dep_36;PSDB;BA;53;1;2022
30;Dep_5;PSOL;BA;87;43;2025
11;Dep_4;PT;RJ;0;29;2022
8;Dep_7;MDB;BA;93;14;2023
19;Dep_46;PL;MG;26;4;2024
41;Dep_28;PSDB;AM;66;17;2024
7;Dep_17;PSDB;SP;62;2;2023
39;Dep_49;PT;SP;40;48;2025
31;Dep_12;MDB;MG;91;32;2022
47;Dep_15;MDB;MG;33;25;2025
14;Dep_38;MDB;SP;67;49;2022
11;Dep_35;PSOL;BA;26;33;2023
22;Dep_40;PSDB;SP;99;32;2023
21;Dep_16;PSOL;MG;24;32;2025
12;Dep_16;PL;MG;79;41;2022
47;Dep_10;PSDB;BA;38;5;2023
2;Dep_26;PSOL;AM;62;30;2024
29;Dep_22;PSDB;MG;11;10;2023
6;Dep_14;MDB;BA;1;25;2025
32;Dep_49;PSOL;RJ;85;16;2023
23;Dep_31;PT;AM;3;33;2024
21;Dep_10;PSDB;RJ;82;47;2025
8;Dep_12;PT;RJ;13;48;2022
43;Dep_9;MDB;RJ;29;21;2023
37;Dep_18;MDB;AM;38;43;2023
47;Dep_5;MDB;AM;87;41;2024
13;Dep_45;PT;BA;56;42;2024
25;Dep_23;PT;MG;85;7;2023
29;Dep_35;PL;MG;84;15;2024
22;Dep_9;PL;AM;59;0;2023
47;Dep_1;MDB;AM;28;20;2024
34;Dep_24;PSDB;SP;53;44;2024
23;Dep_27;PT;RJ;9;14;2022
9;Dep_12;PSDB;AM;16;48;2022
31;Dep_5;PSDB;RJ;20;4;2025
29;Dep_38;PSDB;SP;79;31;2025
44;Dep_43;PSOL;AM;45;8;2023
50;Dep_14;PSOL;SP;10;6;2025
46;Dep_1;PSOL;SP;46;5;2023
41;Dep_25;PL;AM;6;11;2024
14;Dep_37;PSDB;BA;5;47;2022
26;Dep_34;PSOL;SP;48;48;2025
47;Dep_21;PT;AM;93;20;2024
25;Dep_23;PT;RJ;40;9;2025
44;Dep_7;PL;RJ;73;20;2025
3;Dep_22;PT;SP;34;10;2022
2;Dep_36;PT;MG;89;32;2025
19;Dep_7;PSDB;MG;37;46;2023
10;Dep_16;PT;MG;14;5;2024
25;Dep_11;PSDB;AM;68;5;2023
35;Dep_31;PSDB;SP;15;31;2024
49;Dep_45;PSOL;SP;52;32;2023
26;Dep_48;PL;RJ;65;26;2023
13;Dep_39;MDB;RJ;33;45;2022
25;Dep_47;PT;BA;64;5;2022
42;Dep_41;PT;AM;78;5;2023
4;Dep_49;PT;RJ;12;16;2025
13;Dep_36;MDB;AM;24;7;2022
20;Dep_19;MDB;MG;7;18;2025
45;Dep_44;PL;MG;8;40;2025
5;Dep_8;PSOL;SP;57;32;2025
37;Dep_3;PT;RJ;93;13;2024
9;Dep_34;PT;SP;14;13;2024
8;Dep_14;MDB;RJ;63;26;2024
35;Dep_27;PSOL;BA;94;9;2023
40;Dep_31;PT;RJ;73;16;2023
20;Dep_33;MDB;MG;51;34;2024
7;Dep_24;PT;AM;17;29;2024
13;Dep_47;MDB;BA;45;27;2022
32;Dep_20;PSDB;BA;74;39;2024
9;Dep_36;MDB;AM;90;23;2024
11;Dep_47;PL;BA;60;0;2022
9;Dep_46;PT;SP;10;8;2022
5;Dep_34;PSOL;BA;88;36;2022
12;Dep_30;PSOL;BA;7;22;2022
20;Dep_18;PT;RJ;31;40;2024
47;Dep_9;PL;AM;63;23;2025
38;Dep_46;PSDB;BA;64;8;2024
47;Dep_5;PSOL;SP;88;44;2023
29;Dep_32;PSOL;RJ;64;9;2023
31;Dep_14;PSDB;BA;72;45;2024
33;Dep_48;PT;MG;62;5;2022
44;Dep_12;MDB;RJ;32;34;2023
1;Dep_4;MDB;MG;81;13;2025
10;Dep_1;PT;MG;50;3;2025
29;Dep_43;PL;SP;34;20;2023
26;Dep_3;PT;SP;60;37;2023
46;Dep_38;PSDB;RJ;26;23;2025
24;Dep_8;PL;BA;44;15;2023
10;Dep_39;MDB;BA;68;4;2025
17;Dep_3;MDB;RJ;87;38;2025
43;Dep_49;PSDB;MG;27;2;2025
16;Dep_10;PSDB;MG;47;45;2023
4;Dep_38;PL;MG;57;38;2023
47;Dep_2;PSDB;AM;19;14;2022
25;Dep_31;PSOL;MG;12;16;2022
19;Dep_44;PSOL;SP;89;16;2024
49;Dep_46;PSDB;BA;62;47;2025
27;Dep_2;PSOL;MG;28;32;2023
23;Dep_25;PT;BA;33;23;2022
25;Dep_44;MDB;SP;35;27;2023
48;Dep_1;PSDB;SP;9;20;2024
23;Dep_26;MDB;AM;55;1;2022
7;Dep_5;PT;MG;82;40;2022
3;Dep_41;PT;BA;5;38;2025
46;Dep_47;PL;RJ;43;44;2023
28;Dep_48;PL;RJ;72;8;2023
21;Dep_29;PT;RJ;55;37;2023
34;Dep_6;PSDB;SP;45;1;2022
47;Dep_4;PT;AM;46;47;2024
40;Dep_39;PL;BA;7;49;2025
10;Dep_39;PL;MG;27;50;2025
23;Dep_30;PL;RJ;42;18;2025
22;Dep_43;MDB;SP;20;16;2023
30;Dep_33;PSOL;MG;47;22;2022
48;Dep_24;PSDB;RJ;22;26;2024
16;Dep_17;MDB;RJ;96;25;2024
17;Dep_1;PT;SP;75;7;2025
29;Dep_32;PL;BA;72;21;2024
12;Dep_23;PSDB;RJ;35;9;2025
49;Dep_33;PSOL;AM;32;0;2025
41;Dep_5;PSOL;BA;49;6;2025
20;Dep_43;MDB;MG;81;39;2024
13;Dep_9;MDB;BA;88;0;2023
1;Dep_4;PL;AM;73;27;2022
32;Dep_27;PL;SP;100;11;2024
11;Dep_15;MDB;BA;50;16;2023
18;Dep_17;PSDB;AM;40;22;2025
20;Dep_4;PSOL;BA;23;25;2022
22;Dep_32;PSDB;BA;17;34;2024
39;Dep_19;PSOL;RJ;89;15;2023
39;Dep_27;PSOL;RJ;37;29;2024
39;Dep_26;PSDB;SP;7;15;2022
47;Dep_2;PSDB;BA;25;46;2022
12;Dep_24;PT;SP;66;31;2024
7;Dep_37;PSOL;BA;61;12;2022
17;Dep_29;PSOL;AM;61;0;2025
25;Dep_27;PSOL;AM;77;11;2023
11;Dep_17;PSDB;BA;30;1;2022
13;Dep_4;PSOL;MG;51;50;2022
29;Dep_7;PT;BA;14;6;2022
13;Dep_3;PSDB;RJ;10;24;2023
5;Dep_11;PSOL;RJ;17;42;2025
3;Dep_16;PL;AM;6;48;2023
41;Dep_48;PSDB;RJ;35;1;2022
34;Dep_10;PSDB;BA;21;8;2025
15;Dep_44;PT;AM;95;20;2025
8;Dep_9;PSDB;AM;42;13;2025
31;Dep_33;PT;SP;94;9;2024
13;Dep_46;PSDB;RJ;61;9;2024
38;Dep_30;PL;MG;48;9;2023
36;Dep_10;PT;RJ;66;0;2023
9;Dep_42;PSDB;MG;55;12;2024
34;Dep_34;PT;RJ;93;16;2024
41;Dep_50;MDB;AM;11;14;2025
