id,candidato,partido,idade,cidade,propostas,votos_estimados,ano_eleicao
33,Candidato_33,Partido D,59,São Paulo,Infraestrutura,49511,2018
34,Candidato_34,Partido B,25,Salvador,Meio Ambiente,9605,2018
35,Candidato_35,Partido B,45,Rio de Janeiro,Segurança,35782,2020
36,Candidato_36,Partido A,30,Manaus,Segurança,2381,2022
37,Candidato_37,Partido D,52,Manaus,Educação,2098,2018
38,Candidato_38,Partido A,41,Brasília,Saúde,20810,2022
39,Candidato_39,Partido A,29,São Paulo,Infraestrutura,25322,2022
40,Candidato_40,Partido C,55,Brasília,Saúde,42869,2020
41,Candidato_41,Partido C,29,Rio de Janeiro,Economia,33955,2018
42,Candidato_42,Partido C,62,Brasília,Economia,45716,2020
43,Candidato_43,Partido B,27,Fortaleza,Meio Ambiente,11207,2018
44,Candidato_44,Partido D,47,Manaus,Educação,22793,2020
45,Candidato_45,Partido D,61,Manaus,Educação,3092,2022
46,Candidato_46,Partido D,61,Salvador,Educação,29220,2018
47,Candidato_47,Partido D,34,Salvador,Meio Ambiente,19514,2024
48,Candidato_48,Partido C,34,Rio de Janeiro,Economia,39010,2022
49,Candidato_49,Partido B,43,Fortaleza,Saúde,9549,2024
50,Candidato_50,Partido B,41,São Paulo,Meio Ambiente,23031,2022
51,Candidato_51,Partido C,45,Brasília,Meio Ambiente,6185,2020
52,Candidato_52,Partido B,38,Rio de Janeiro,Saúde,16271,2018
53,Candidato_53,Partido C,33,Salvador,Educação,6776,2022
54,Candidato_54,Partido D,25,Brasília,Infraestrutura,13449,2020
55,Candidato_55,Partido C,69,Salvador,Saúde,25297,2018
56,Candidato_56,Partido D,37,Brasília,Economia,41591,2018
57,Candidato_57,Partido D,28,São Paulo,Segurança,16717,2022
58,Candidato_58,Partido A,25,Rio de Janeiro,Segurança,41123,2018
59,Candidato_59,Partido C,64,Brasília,Meio Ambiente,40233,2022
60,Candidato_60,Partido A,56,Fortaleza,Segurança,46505,2018
61,Candidato_61,Partido C,58,Manaus,Infraestrutura,47092,2024
62,Candidato_62,Partido C,52,Fortaleza,Educação,11350,2020
63,Candidato_63,Partido A,55,Fortaleza,Economia,31622,2024
64,Candidato_64,Partido A,32,Manaus,Infraestrutura,36323,2022
65,Candidato_65,Partido C,63,Fortaleza,Economia,3951,2024
66,Candidato_66,Partido B,50,Brasília,Economia,18622,2022
67,Candidato_67,Partido D,58,Brasília,Educação,5727,2018
68,Candidato_68,Partido A,27,Brasília,Meio Ambiente,39454,2018
69,Candidato_69,Partido D,36,Manaus,Segurança,37469,2022
70,Candidato_70,Partido B,25,Fortaleza,Educação,36548,2024
71,Candidato_71,Partido B,68,Manaus,Infraestrutura,24782,2018
72,Candidato_72,Partido B,29,Brasília,Meio Ambiente,29454,2020
73,Candidato_73,Partido A,54,Fortaleza,Infraestrutura,3368,2018
74,Candidato_74,Partido B,54,Fortaleza,Meio Ambiente,16592,2020
75,Candidato_75,Partido A,41,Salvador,Infraestrutura,23173,2024
76,Candidato_76,Partido B,47,Salvador,Educação,34204,2020
77,Candidato_77,Partido D,39,São Paulo,Meio Ambiente,36596,2020
78,Candidato_78,Partido D,61,Rio de Janeiro,Meio Ambiente,35324,2020
79,Candidato_79,Partido C,45,Salvador,Economia,47132,2020
80,Candidato_80,Partido D,38,Manaus,Economia,24864,2018
81,Candidato_81,Partido C,26,Salvador,Saúde,48829,2020
82,Candidato_82,Partido D,35,São Paulo,Infraestrutura,31750,2018
83,Candidato_83,Partido A,63,Fortaleza,Economia,11576,2020
84,Candidato_84,Partido D,62,São Paulo,Saúde,17566,2022
85,Candidato_85,Partido C,58,Fortaleza,Economia,8190,2024
86,Candidato_86,Partido C,62,Fortaleza,Infraestrutura,24071,2020
87,Candidato_87,Partido B,58,Rio de Janeiro,Meio Ambiente,39333,2022
88,Candidato_88,Partido A,42,Salvador,Segurança,16369,2020
89,Candidato_89,Partido D,54,Manaus,Infraestrutura,25035,2020
90,Candidato_90,Partido B,39,Manaus,Educação,2589,2020
91,Candidato_91,Partido D,51,Brasília,Economia,26235,2022
92,Candidato_92,Partido D,58,Fortaleza,Economia,1159,2024
93,Candidato_93,Partido B,62,Manaus,Meio Ambiente,13145,2022
94,Candidato_94,Partido B,57,Rio de Janeiro,Educação,16373,2024
95,Candidato_95,Partido B,48,Fortaleza,Meio Ambiente,32921,2020
96,Candidato_96,Partido B,39,Rio de Janeiro,Educação,40323,2018
97,Candidato_97,Partido B,54,Manaus,Segurança,17237,2020
98,Candidato_98,Partido D,66,Manaus,Economia,42971,2024
99,Candidato_99,Partido B,41,Brasília,Economia,9244,2022
100,Candidato_100,Partido A,29,Manaus,Segurança,15743,2020
101,Candidato_101,Partido C,53,Fortaleza,Saúde,32566,2022
102,Candidato_102,Partido B,28,Fortaleza,Meio Ambiente,47101,2022
103,Candidato_103,Partido B,34,Fortaleza,Segurança,47109,2022
104,Candidato_104,Partido D,41,Brasília,Meio Ambiente,19691,2020
105,Candidato_105,Partido B,34,Brasília,Infraestrutura,34996,2022
106,Candidato_106,Partido B,41,Manaus,Economia,6590,2022
107,Candidato_107,Partido B,44,São Paulo,Meio Ambiente,6585,2020
108,Candidato_108,Partido D,48,São Paulo,Educação,10227,2022
109,Candidato_109,Partido B,29,Brasília,Meio Ambiente,29278,2020
110,Candidato_110,Partido C,58,Manaus,Infraestrutura,39814,2024
111,Candidato_111,Partido D,30,São Paulo,Economia,13237,2024
112,Candidato_112,Partido C,26,Manaus,Segurança,16649,2024
113,Candidato_113,Partido D,37,Manaus,Infraestrutura,38713,2022
114,Candidato_114,Partido B,67,Manaus,Economia,8927,2018
115,Candidato_115,Partido C,67,Salvador,Meio Ambiente,46409,2018
116,Candidato_116,Partido D,35,Fortaleza,Saúde,49766,2022
117,Candidato_117,Partido A,47,Manaus,Saúde,47154,2018
118,Candidato_118,Partido B,40,Salvador,Educação,8016,2020
119,Candidato_119,Partido D,55,Brasília,Economia,15027,2018
120,Candidato_120,Partido A,35,São Paulo,Saúde,49688,2022
121,Candidato_121,Partido D,40,Fortaleza,Segurança,25142,2022
122,Candidato_122,Partido A,32,São Paulo,Economia,47520,2020
123,Candidato_123,Partido B,28,Fortaleza,Segurança,24545,2024
124,Candidato_124,Partido C,64,São Paulo,Segurança,32897,2022
125,Candidato_125,Partido A,28,Fortaleza,Saúde,4167,2020
126,Candidato_126,Partido D,49,São Paulo,Economia,45757,2018
127,Candidato_127,Partido B,27,São Paulo,Meio Ambiente,27917,2018
128,Candidato_128,Partido A,56,São Paulo,Infraestrutura,23736,2020
129,Candidato_129,Partido D,27,São Paulo,Saúde,28990,2020
130,Candidato_130,Partido D,51,Brasília,Saúde,15087,2022
131,Candidato_131,Partido D,53,Manaus,Meio Ambiente,23440,2018
132,Candidato_132,Partido A,56,Rio de Janeiro,Economia,36205,2020
133,Candidato_133,Partido A,43,Salvador,Economia,16275,2018
134,Candidato_134,Partido A,45,Rio de Janeiro,Segurança,6276,2020
135,Candidato_135,Partido C,29,Rio de Janeiro,Meio Ambiente,42627,2018
136,Candidato_136,Partido A,42,Fortaleza,Meio Ambiente,41586,2024
137,Candidato_137,Partido A,52,Manaus,Economia,38496,2022
138,Candidato_138,Partido A,66,Fortaleza,Segurança,20008,2018
139,Candidato_139,Partido C,46,Manaus,Saúde,6738,2024
140,Candidato_140,Partido A,45,Manaus,Educação,33402,2018
141,Candidato_141,Partido D,30,São Paulo,Infraestrutura,6793,2018
142,Candidato_142,Partido A,25,Brasília,Saúde,38291,2024
143,Candidato_143,Partido D,29,São Paulo,Economia,6571,2018
144,Candidato_144,Partido D,65,Brasília,Infraestrutura,32331,2018
145,Candidato_145,Partido D,36,Fortaleza,Educação,17209,2022
146,Candidato_146,Partido C,50,Brasília,Educação,49014,2024
147,Candidato_147,Partido C,58,Fortaleza,Segurança,26394,2024
148,Candidato_148,Partido C,38,Rio de Janeiro,Infraestrutura,44148,2020
149,Candidato_149,Partido A,50,Rio de Janeiro,Segurança,26682,2018
150,Candidato_150,Partido D,69,Brasília,Saúde,3224,2022
151,Candidato_151,Partido C,51,Brasília,Meio Ambiente,42157,2018
152,Candidato_152,Partido C,33,Fortaleza,Meio Ambiente,49695,2018
153,Candidato_153,Partido A,50,São Paulo,Meio Ambiente,45452,2020
154,Candidato_154,Partido C,46,Fortaleza,Infraestrutura,44408,2018
155,Candidato_155,Partido A,54,São Paulo,Meio Ambiente,33441,2022
156,Candidato_156,Partido B,67,Rio de Janeiro,Saúde,42430,2022
157,Candidato_157,Partido C,41,Manaus,Segurança,40129,2020
158,Candidato_158,Partido B,50,Brasília,Infraestrutura,35716,2018
159,Candidato_159,Partido A,60,São Paulo,Segurança,45859,2022
160,Candidato_160,Partido D,25,Fortaleza,Infraestrutura,27586,2018
161,Candidato_161,Partido C,32,Rio de Janeiro,Segurança,45760,2018
162,Candidato_162,Partido A,59,São Paulo,Educação,24478,2018
163,Candidato_163,Partido D,39,Fortaleza,Segurança,7318,2020
164,Candidato_164,Partido D,46,Brasília,Meio Ambiente,29694,2018
165,Candidato_165,Partido B,38,Brasília,Educação,21180,2022
166,Candidato_166,Partido A,50,Salvador,Segurança,13180,2018
167,Candidato_167,Partido D,52,Manaus,Infraestrutura,34002,2022
168,Candidato_168,Partido C,47,Salvador,Infraestrutura,16372,2018
169,Candidato_169,Partido C,38,Rio de Janeiro,Infraestrutura,30796,2022
170,Candidato_170,Partido B,48,São Paulo,Economia,25427,2022
171,Candidato_171,Partido D,26,Rio de Janeiro,Saúde,34290,2018
172,Candidato_172,Partido A,69,Fortaleza,Infraestrutura,29099,2018
173,Candidato_173,Partido C,50,Brasília,Educação,46486,2022
174,Candidato_174,Partido D,38,Salvador,Infraestrutura,10821,2024
175,Candidato_175,Partido D,31,Salvador,Economia,6832,2020
176,Candidato_176,Partido B,27,Salvador,Meio Ambiente,13820,2024
177,Candidato_177,Partido C,47,Rio de Janeiro,Educação,17211,2024
178,Candidato_178,Partido C,67,Brasília,Economia,40890,2018
179,Candidato_179,Partido A,69,São Paulo,Meio Ambiente,6842,2020
180,Candidato_180,Partido C,42,Fortaleza,Educação,2316,2024
181,Candidato_181,Partido A,62,São Paulo,Segurança,46968,2018
182,Candidato_182,Partido C,59,Rio de Janeiro,Saúde,18508,2024
183,Candidato_183,Partido B,39,Fortaleza,Saúde,23005,2024
184,Candidato_184,Partido C,49,Salvador,Economia,16206,2018
185,Candidato_185,Partido A,61,Manaus,Meio Ambiente,19971,2018
186,Candidato_186,Partido A,52,Rio de Janeiro,Saúde,26599,2018
187,Candidato_187,Partido B,34,Rio de Janeiro,Meio Ambiente,23056,2020
188,Candidato_188,Partido C,63,Brasília,Meio Ambiente,2378,2024
189,Candidato_189,Partido C,41,São Paulo,Economia,2519,2018
190,Candidato_190,Partido B,63,Rio de Janeiro,Economia,23161,2022
191,Candidato_191,Partido C,46,Rio de Janeiro,Economia,41703,2024
192,Candidato_192,Partido C,50,Salvador,Saúde,39861,2022
193,Candidato_193,Partido A,68,Salvador,Economia,6355,2020
194,Candidato_194,Partido C,49,Fortaleza,Saúde,10083,2018
195,Candidato_195,Partido C,41,Manaus,Economia,39342,2022
196,Candidato_196,Partido B,37,Brasília,Infraestrutura,21456,2020
197,Candidato_197,Partido B,44,Manaus,Meio Ambiente,14324,2018
198,Candidato_198,Partido D,49,Fortaleza,Economia,3257,2022
199,Candidato_199,Partido A,28,Salvador,Educação,28364,2022
200,Candidato_200,Partido C,34,São Paulo,Meio Ambiente,25972,2020
201,Candidato_201,Partido C,27,Salvador,Meio Ambiente,47179,2018
202,Candidato_202,Partido D,65,Brasília,Economia,27654,2018
203,Candidato_203,Partido C,69,Salvador,Segurança,16233,2022
204,Candidato_204,Partido A,42,Brasília,Economia,16887,2022
205,Candidato_205,Partido D,60,Brasília,Meio Ambiente,30320,2022
206,Candidato_206,Partido A,46,Brasília,Educação,21808,2018
207,Candidato_207,Partido D,58,Fortaleza,Meio Ambiente,31154,2020
208,Candidato_208,Partido D,32,Brasília,Educação,35773,2020
209,Candidato_209,Partido B,64,Brasília,Saúde,28747,2018
210,Candidato_210,Partido A,68,São Paulo,Infraestrutura,11860,2024
211,Candidato_211,Partido C,43,Manaus,Meio Ambiente,43838,2020
212,Candidato_212,Partido C,66,Rio de Janeiro,Economia,43156,2022
213,Candidato_213,Partido A,65,Manaus,Saúde,19156,2024
214,Candidato_214,Partido C,61,Brasília,Infraestrutura,21360,2024
215,Candidato_215,Partido C,30,São Paulo,Economia,19135,2020
216,Candidato_216,Partido A,50,Salvador,Segurança,26351,2024
217,Candidato_217,Partido D,58,São Paulo,Economia,31499,2024
218,Candidato_218,Partido A,69,Brasília,Educação,48377,2020
219,Candidato_219,Partido D,30,São Paulo,Educação,24554,2020
220,Candidato_220,Partido C,61,São Paulo,Segurança,20604,2024
221,Candidato_221,Partido C,57,Brasília,Saúde,17923,2022
222,Candidato_222,Partido C,46,Fortaleza,Infraestrutura,48591,2018
223,Candidato_223,Partido B,45,São Paulo,Economia,9547,2024
224,Candidato_224,Partido D,30,Rio de Janeiro,Educação,45283,2024
225,Candidato_225,Partido B,30,Rio de Janeiro,Saúde,34002,2022
226,Candidato_226,Partido B,28,São Paulo,Segurança,15562,2024
227,Candidato_227,Partido A,54,Fortaleza,Meio Ambiente,8480,2024
228,Candidato_228,Partido B,35,Salvador,Educação,27672,2018
229,Candidato_229,Partido A,54,Brasília,Segurança,5213,2018
230,Candidato_230,Partido A,55,Rio de Janeiro,Economia,11293,2018
231,Candidato_231,Partido B,48,Salvador,Infraestrutura,35441,2020
232,Candidato_232,Partido D,33,São Paulo,Educação,3100,2020
233,Candidato_233,Partido D,27,Salvador,Educação,45617,2018
234,Candidato_234,Partido D,55,Manaus,Economia,29172,2018
235,Candidato_235,Partido D,64,Rio de Janeiro,Meio Ambiente,21132,2020
236,Candidato_236,Partido D,61,São Paulo,Saúde,19199,2022
237,Candidato_237,Partido B,60,Brasília,Infraestrutura,37609,2024
238,Candidato_238,Partido B,48,Fortaleza,Educação,43965,2024
239,Candidato_239,Partido C,55,São Paulo,Infraestrutura,9016,2018
240,Candidato_240,Partido D,30,Brasília,Educação,40779,2022
241,Candidato_241,Partido B,26,Fortaleza,Infraestrutura,38261,2020
242,Candidato_242,Partido C,44,Fortaleza,Segurança,32881,2018
243,Candidato_243,Partido D,52,São Paulo,Educação,18058,2022
244,Candidato_244,Partido A,35,Salvador,Infraestrutura,25472,2022
245,Candidato_245,Partido C,28,Salvador,Saúde,42346,2022
246,Candidato_246,Partido B,39,Fortaleza,Segurança,35926,2020
247,Candidato_247,Partido A,30,Salvador,Segurança,35832,2020
248,Candidato_248,Partido A,54,Manaus,Saúde,37021,2024
249,Candidato_249,Partido A,62,Fortaleza,Infraestrutura,25087,2024
250,Candidato_250,Partido C,26,Fortaleza,Economia,13828,2022
251,Candidato_251,Partido B,39,Brasília,Saúde,32128,2022
252,Candidato_252,Partido A,35,Salvador,Infraestrutura,2401,2020
253,Candidato_253,Partido D,32,Fortaleza,Saúde,20643,2024
254,Candidato_254,Partido A,50,Manaus,Saúde,16193,2022
255,Candidato_255,Partido A,69,Brasília,Educação,27853,2024
256,Candidato_256,Partido C,68,São Paulo,Infraestrutura,45864,2024
257,Candidato_257,Partido C,29,Fortaleza,Economia,21307,2022
258,Candidato_258,Partido B,30,Manaus,Educação,37982,2020
259,Candidato_259,Partido D,50,Rio de Janeiro,Saúde,20611,2022
260,Candidato_260,Partido C,28,Manaus,Meio Ambiente,44791,2022
261,Candidato_261,Partido A,43,Manaus,Saúde,12950,2024
262,Candidato_262,Partido B,44,Brasília,Saúde,11704,2022
263,Candidato_263,Partido A,57,São Paulo,Infraestrutura,44111,2020
264,Candidato_264,Partido A,44,Rio de Janeiro,Infraestrutura,12867,2022
265,Candidato_265,Partido C,36,Salvador,Educação,3745,2020
266,Candidato_266,Partido B,25,Salvador,Economia,4866,2020
267,Candidato_267,Partido D,50,Manaus,Educação,33245,2024
268,Candidato_268,Partido D,38,Brasília,Segurança,45724,2018
269,Candidato_269,Partido C,62,Brasília,Saúde,6818,2018
270,Candidato_270,Partido C,61,Salvador,Meio Ambiente,49861,2024
271,Candidato_271,Partido B,35,Rio de Janeiro,Saúde,31116,2022
272,Candidato_272,Partido D,60,São Paulo,Saúde,16493,2024
273,Candidato_273,Partido D,37,Rio de Janeiro,Educação,29038,2020
274,Candidato_274,Partido D,67,Fortaleza,Meio Ambiente,21447,2018
275,Candidato_275,Partido A,27,Fortaleza,Meio Ambiente,31431,2024
276,Candidato_276,Partido D,57,São Paulo,Meio Ambiente,18908,2022
277,Candidato_277,Partido A,30,Salvador,Educação,30336,2024
278,Candidato_278,Partido B,34,São Paulo,Saúde,41992,2018
279,Candidato_279,Partido A,29,Brasília,Educação,5025,2024
280,Candidato_280,Partido B,47,Fortaleza,Infraestrutura,21093,2024
281,Candidato_281,Partido D,34,Manaus,Infraestrutura,7155,2018
282,Candidato_282,Partido D,68,Manaus,Educação,47607,2020
283,Candidato_283,Partido B,26,Salvador,Meio Ambiente,34487,2020
284,Candidato_284,Partido C,37,Brasília,Saúde,48658,2018
285,Candidato_285,Partido B,64,Rio de Janeiro,Educação,21963,2024
286,Candidato_286,Partido C,26,Brasília,Educação,21936,2018
287,Candidato_287,Partido A,44,Manaus,Educação,5426,2020
288,Candidato_288,Partido A,25,Manaus,Segurança,24303,2022
289,Candidato_289,Partido A,61,Fortaleza,Infraestrutura,46280,2024
290,Candidato_290,Partido D,33,Brasília,Meio Ambiente,28606,2020
291,Candidato_291,Partido A,41,Brasília,Economia,48832,2024
292,Candidato_292,Partido C,33,Manaus,Meio Ambiente,29151,2018
293,Candidato_293,Partido A,35,Rio de Janeiro,Economia,14767,2022
294,Candidato_294,Partido B,39,Salvador,Segurança,12308,2018
295,Candidato_295,Partido B,48,Salvador,Educação,45245,2022
296,Candidato_296,Partido D,62,Brasília,Segurança,46671,2024
297,Candidato_297,Partido B,59,Salvador,Segurança,25770,2024
298,Candidato_298,Partido C,54,Manaus,Saúde,29572,2018
299,Candidato_299,Partido A,55,Manaus,Infraestrutura,42448,2022
300,Candidato_300,Partido D,29,Brasília,Economia,3204,2022
301,Candidato_301,Partido A,68,Brasília,Educação,28233,2024
302,Candidato_302,Partido A,38,Fortaleza,Economia,22729,2018
303,Candidato_303,Partido C,35,Brasília,Meio Ambiente,32131,2022
304,Candidato_304,Partido B,33,Rio de Janeiro,Economia,34870,2024
305,Candidato_305,Partido B,58,Salvador,Meio Ambiente,39011,2020
306,Candidato_306,Partido A,36,Brasília,Infraestrutura,40382,2018
307,Candidato_307,Partido D,59,São Paulo,Meio Ambiente,42475,2020
308,Candidato_308,Partido B,59,Fortaleza,Economia,47681,2018
309,Candidato_309,Partido D,25,São Paulo,Economia,22607,2024
310,Candidato_310,Partido B,64,Manaus,Meio Ambiente,25968,2022
311,Candidato_311,Partido D,46,Salvador,Segurança,34398,2022
312,Candidato_312,Partido C,53,Brasília,Infraestrutura,12908,2022
313,Candidato_313,Partido D,32,São Paulo,Saúde,27423,2018
314,Candidato_314,Partido C,35,Salvador,Educação,44615,2024
315,Candidato_315,Partido C,65,Manaus,Economia,10171,2020
316,Candidato_316,Partido D,61,Rio de Janeiro,Educação,13721,2024
317,Candidato_317,Partido C,38,Fortaleza,Saúde,17616,2020
318,Candidato_318,Partido A,54,Salvador,Educação,43512,2018
319,Candidato_319,Partido C,59,Salvador,Saúde,39458,2018
320,Candidato_320,Partido B,45,Rio de Janeiro,Meio Ambiente,47169,2020
321,Candidato_321,Partido D,61,Salvador,Segurança,8659,2020
322,Candidato_322,Partido A,29,Manaus,Economia,44369,2020
323,Candidato_323,Partido D,43,Manaus,Saúde,12704,2024
324,Candidato_324,Partido B,38,Rio de Janeiro,Educação,33793,2020
325,Candidato_325,Partido B,50,Fortaleza,Economia,49152,2018
326,Candidato_326,Partido B,28,Brasília,Segurança,47473,2018
327,Candidato_327,Partido C,49,São Paulo,Meio Ambiente,32226,2022
328,Candidato_328,Partido C,69,Brasília,Economia,24852,2020
329,Candidato_329,Partido D,66,Salvador,Saúde,33082,2024
330,Candidato_330,Partido D,49,São Paulo,Segurança,23794,2024
331,Candidato_331,Partido A,42,Rio de Janeiro,Educação,42420,2024
332,Candidato_332,Partido A,64,Rio de Janeiro,Segurança,14379,2022
333,Candidato_333,Partido D,32,Fortaleza,Segurança,8006,2018
334,Candidato_334,Partido C,63,São Paulo,Infraestrutura,9682,2024
335,Candidato_335,Partido B,64,Manaus,Segurança,34840,2018
336,Candidato_336,Partido D,38,São Paulo,Segurança,33430,2022
337,Candidato_337,Partido A,56,Salvador,Economia,24091,2020
338,Candidato_338,Partido C,62,Manaus,Educação,33983,2020
339,Candidato_339,Partido D,57,Rio de Janeiro,Economia,24989,2020
340,Candidato_340,Partido D,47,São Paulo,Economia,10915,2024
341,Candidato_341,Partido C,39,Brasília,Saúde,43552,2020
342,Candidato_342,Partido D,57,Fortaleza,Economia,19990,2024
343,Candidato_343,Partido C,49,Brasília,Infraestrutura,25734,2022
344,Candidato_344,Partido B,41,Fortaleza,Infraestrutura,15824,2022
345,Candidato_345,Partido C,57,Salvador,Saúde,37081,2024
346,Candidato_346,Partido C,26,Brasília,Meio Ambiente,12033,2018
347,Candidato_347,Partido C,38,São Paulo,Educação,43736,2020
348,Candidato_348,Partido D,64,São Paulo,Educação,17241,2020
349,Candidato_349,Partido D,64,Brasília,Economia,6939,2020
350,Candidato_350,Partido C,63,São Paulo,Economia,48464,2024
351,Candidato_351,Partido D,30,Salvador,Meio Ambiente,48562,2022
352,Candidato_352,Partido A,30,Manaus,Economia,36063,2020
353,Candidato_353,Partido A,27,Salvador,Educação,35464,2022
354,Candidato_354,Partido D,31,Fortaleza,Segurança,12185,2020
355,Candidato_355,Partido D,32,Salvador,Infraestrutura,28045,2020
356,Candidato_356,Partido C,66,Fortaleza,Segurança,45769,2024
357,Candidato_357,Partido B,39,São Paulo,Segurança,48118,2018
358,Candidato_358,Partido D,53,Manaus,Educação,20167,2024
359,Candidato_359,Partido A,57,São Paulo,Segurança,37412,2020
360,Candidato_360,Partido C,54,Rio de Janeiro,Meio Ambiente,22625,2020
361,Candidato_361,Partido D,63,São Paulo,Saúde,40188,2018
362,Candidato_362,Partido A,51,Fortaleza,Economia,28076,2022
363,Candidato_363,Partido A,60,São Paulo,Saúde,45605,2022
364,Candidato_364,Partido B,53,São Paulo,Infraestrutura,20029,2020
365,Candidato_365,Partido C,62,Manaus,Economia,23973,2022
366,Candidato_366,Partido C,57,São Paulo,Segurança,40121,2020
367,Candidato_367,Partido B,61,Manaus,Infraestrutura,32433,2018
368,Candidato_368,Partido B,51,Brasília,Economia,44309,2018
369,Candidato_369,Partido C,57,Rio de Janeiro,Meio Ambiente,2932,2020
370,Candidato_370,Partido C,28,Manaus,Meio Ambiente,45254,2018
371,Candidato_371,Partido D,46,Fortaleza,Meio Ambiente,2757,2024
372,Candidato_372,Partido D,26,Brasília,Meio Ambiente,31722,2024
373,Candidato_373,Partido B,34,Manaus,Segurança,38853,2018
374,Candidato_374,Partido D,29,Manaus,Saúde,39405,2020
375,Candidato_375,Partido A,34,Rio de Janeiro,Economia,2116,2020
376,Candidato_376,Partido D,57,Fortaleza,Segurança,44527,2018
377,Candidato_377,Partido D,62,Salvador,Meio Ambiente,12691,2022
378,Candidato_378,Partido A,37,Salvador,Saúde,1492,2024
379,Candidato_379,Partido B,55,Manaus,Infraestrutura,28882,2022
380,Candidato_380,Partido A,60,São Paulo,Infraestrutura,9811,2020
381,Candidato_381,Partido D,69,Fortaleza,Infraestrutura,28808,2020
382,Candidato_382,Partido B,48,Brasília,Meio Ambiente,25272,2022
383,Candidato_383,Partido D,39,São Paulo,Infraestrutura,29399,2018
384,Candidato_384,Partido A,53,São Paulo,Educação,7474,2022
385,Candidato_385,Partido A,32,Fortaleza,Economia,27956,2022
386,Candidato_386,Partido D,29,Manaus,Economia,48153,2024
387,Candidato_387,Partido C,53,Manaus,Meio Ambiente,43506,2024
388,Candidato_388,Partido C,28,Manaus,Educação,14979,2022
389,Candidato_389,Partido A,36,Manaus,Segurança,45523,2022
390,Candidato_390,Partido A,69,Salvador,Segurança,43565,2020
391,Candidato_391,Partido C,26,Manaus,Infraestrutura,29328,2024
392,Candidato_392,Partido C,51,Salvador,Saúde,48375,2024
393,Candidato_393,Partido D,55,Salvador,Segurança,13867,2020
394,Candidato_394,Partido D,60,Manaus,Saúde,26851,2018
395,Candidato_395,Partido C,60,Rio de Janeiro,Economia,32279,2024
396,Candidato_396,Partido D,50,Brasília,Saúde,31527,2024
397,Candidato_397,Partido D,67,São Paulo,Economia,8866,2018
398,Candidato_398,Partido B,51,Salvador,Educação,16449,2024
399,Candidato_399,Partido D,29,Fortaleza,Educação,11685,2024
400,Candidato_400,Partido A,44,Fortaleza,Meio Ambiente,24544,2018
401,Candidato_401,Partido D,35,Brasília,Meio Ambiente,6451,2018
402,Candidato_402,Partido D,34,Fortaleza,Infraestrutura,22642,2022
403,Candidato_403,Partido C,64,Rio de Janeiro,Segurança,42316,2020
404,Candidato_404,Partido A,62,Fortaleza,Infraestrutura,40954,2020
405,Candidato_405,Partido D,30,São Paulo,Economia,39870,2018
406,Candidato_406,Partido D,32,São Paulo,Infraestrutura,32030,2018
407,Candidato_407,Partido B,47,Salvador,Saúde,31873,2024
408,Candidato_408,Partido D,50,Manaus,Economia,1619,2022
409,Candidato_409,Partido D,67,Rio de Janeiro,Meio Ambiente,34650,2022
