id_evento;cidade;tema;participantes;ano
111;Rio de Janeiro;Segurança;343;2025
112;Rio de Janeiro;Habitação;406;2023
113;Brasília;Transporte;388;2023
114;Curitiba;Habitação;233;2023
115;Rio de Janeiro;Educação;50;2023
116;Rio de Janeiro;Educação;70;2025
117;Curitiba;Saúde;221;2023
118;Curitiba;Transporte;295;2023
119;São Paulo;Educação;286;2022
120;Curitiba;Segurança;399;2025
121;São Paulo;Segurança;232;2021
122;São Paulo;Saúde;84;2022
123;Curitiba;Transporte;119;2024
124;São Paulo;Habitação;449;2024
125;São Paulo;Transporte;449;2022
126;Rio de Janeiro;Transporte;374;2023
127;Belo Horizonte;Transporte;373;2025
128;Belo Horizonte;Habitação;313;2025
129;Rio de Janeiro;Transporte;58;2023
130;Belo Horizonte;Transporte;405;2024
131;São Paulo;Segurança;327;2023
132;Rio de Janeiro;Saúde;58;2025
133;São Paulo;Segurança;36;2024
134;Rio de Janeiro;Saúde;385;2023
135;Belo Horizonte;Transporte;192;2025
136;Brasília;Segurança;85;2022
137;Curitiba;Segurança;137;2022
138;Brasília;Transporte;174;2025
139;Belo Horizonte;Segurança;300;2021
140;Rio de Janeiro;Transporte;380;2021
141;Curitiba;Habitação;441;2024
142;Belo Horizonte;Transporte;208;2024
143;Belo Horizonte;Saúde;78;2025
144;Curitiba;Segurança;456;2021
145;São Paulo;Transporte;453;2024
146;Brasília;Educação;316;2023
147;Curitiba;Transporte;335;2024
148;Rio de Janeiro;Saúde;69;2024
149;Brasília;Segurança;438;2022
150;Belo Horizonte;Educação;433;2023
151;Brasília;Transporte;68;2021
152;Curitiba;Transporte;200;2023
153;Brasília;Saúde;99;2023
154;Rio de Janeiro;Transporte;155;2024
155;Belo Horizonte;Transporte;111;2023
156;Rio de Janeiro;Transporte;32;2022
157;São Paulo;Educação;292;2025
158;Rio de Janeiro;Saúde;456;2021
159;São Paulo;Saúde;75;2024
160;Belo Horizonte;Transporte;445;2025
161;Rio de Janeiro;Saúde;439;2023
162;Curitiba;Saúde;262;2025
163;Brasília;Segurança;48;2025
164;Brasília;Habitação;244;2025
165;Rio de Janeiro;Segurança;125;2023
166;São Paulo;Habitação;500;2025
167;São Paulo;Segurança;152;2022
168;Curitiba;Habitação;177;2023
169;São Paulo;Transporte;441;2021
170;Belo Horizonte;Transporte;476;2024
171;Belo Horizonte;Segurança;131;2024
172;Curitiba;Habitação;406;2023
173;São Paulo;Saúde;291;2022
174;São Paulo;Segurança;448;2025
175;Belo Horizonte;Transporte;409;2025
176;Curitiba;Saúde;67;2024
177;Brasília;Habitação;136;2021
178;Curitiba;Habitação;288;2025
179;Brasília;Transporte;81;2025
180;Rio de Janeiro;Transporte;45;2025
181;Rio de Janeiro;Segurança;476;2021
182;Rio de Janeiro;Transporte;274;2022
183;Brasília;Transporte;376;2025
184;Curitiba;Segurança;61;2022
185;São Paulo;Segurança;217;2025
186;Belo Horizonte;Transporte;394;2023
187;Belo Horizonte;Transporte;439;2021
188;Curitiba;Educação;367;2022
189;Curitiba;Segurança;88;2022
190;São Paulo;Educação;168;2021
191;São Paulo;Segurança;270;2023
192;Rio de Janeiro;Habitação;367;2021
193;Rio de Janeiro;Segurança;72;2021
194;São Paulo;Educação;156;2022
195;Curitiba;Habitação;393;2022
196;Belo Horizonte;Segurança;348;2023
197;São Paulo;Habitação;137;2023
198;Belo Horizonte;Transporte;394;2025
199;Brasília;Transporte;351;2024
200;Rio de Janeiro;Educação;367;2021
201;Curitiba;Segurança;243;2023
202;Belo Horizonte;Habitação;42;2025
203;Brasília;Habitação;294;2025
204;Rio de Janeiro;Habitação;395;2025
205;São Paulo;Transporte;319;2022
206;Rio de Janeiro;Transporte;264;2023
207;Brasília;Saúde;376;2025
208;Brasília;Educação;344;2022
209;Brasília;Habitação;492;2024
210;São Paulo;Habitação;487;2025
211;Curitiba;Educação;95;2022
212;Curitiba;Segurança;113;2024
213;Curitiba;Segurança;90;2022
214;São Paulo;Educação;486;2022
215;Brasília;Saúde;387;2025
216;Rio de Janeiro;Saúde;184;2022
217;Curitiba;Educação;329;2025
218;Belo Horizonte;Transporte;86;2024
219;São Paulo;Saúde;473;2023
220;Rio de Janeiro;Educação;140;2025
221;Curitiba;Segurança;396;2022
222;São Paulo;Saúde;367;2021
223;Brasília;Educação;220;2024
224;Curitiba;Transporte;294;2021
225;Rio de Janeiro;Segurança;23;2021
226;Rio de Janeiro;Transporte;434;2021
227;Belo Horizonte;Saúde;25;2023
228;Curitiba;Educação;266;2022
229;Brasília;Habitação;300;2025
230;São Paulo;Segurança;305;2021
231;Brasília;Educação;385;2021
232;Brasília;Habitação;248;2023
233;Rio de Janeiro;Habitação;343;2021
234;São Paulo;Saúde;311;2024
235;São Paulo;Transporte;332;2023
236;São Paulo;Transporte;102;2023
237;Curitiba;Educação;471;2025
238;Rio de Janeiro;Habitação;209;2023
239;Rio de Janeiro;Habitação;381;2025
240;Rio de Janeiro;Educação;162;2025
241;Rio de Janeiro;Habitação;240;2025
242;Rio de Janeiro;Segurança;244;2025
243;Rio de Janeiro;Segurança;363;2025
244;Rio de Janeiro;Habitação;433;2023
245;Brasília;Educação;480;2023
246;Brasília;Habitação;447;2023
247;Brasília;Habitação;439;2023
248;Rio de Janeiro;Habitação;451;2022
249;Curitiba;Segurança;283;2021
250;Curitiba;Educação;305;2021
251;Rio de Janeiro;Habitação;108;2025
252;Rio de Janeiro;Transporte;443;2021
253;Rio de Janeiro;Transporte;214;2024
254;Rio de Janeiro;Habitação;90;2025
255;Rio de Janeiro;Educação;351;2025
256;Rio de Janeiro;Saúde;70;2024
257;Belo Horizonte;Habitação;339;2025
258;São Paulo;Saúde;269;2024
259;Belo Horizonte;Transporte;56;2021
260;Brasília;Saúde;232;2023
261;São Paulo;Habitação;206;2023
262;Rio de Janeiro;Habitação;131;2024
263;Belo Horizonte;Transporte;187;2023
264;Curitiba;Educação;41;2023
265;Curitiba;Educação;398;2022
266;Belo Horizonte;Saúde;497;2025
267;Curitiba;Educação;293;2022
268;São Paulo;Transporte;77;2023
269;Brasília;Segurança;335;2021
270;Curitiba;Transporte;242;2022
271;Rio de Janeiro;Habitação;21;2021
272;Rio de Janeiro;Educação;217;2022
273;Belo Horizonte;Educação;117;2023
274;São Paulo;Segurança;167;2023
275;Belo Horizonte;Transporte;392;2024
276;São Paulo;Saúde;387;2022
277;Rio de Janeiro;Saúde;478;2022
278;São Paulo;Educação;130;2025
279;Brasília;Transporte;230;2024
280;Rio de Janeiro;Saúde;185;2024
281;São Paulo;Habitação;337;2022
282;São Paulo;Saúde;479;2021
283;Curitiba;Educação;301;2021
284;São Paulo;Educação;103;2024
285;Curitiba;Saúde;306;2021
286;Brasília;Educação;223;2022
287;Rio de Janeiro;Habitação;450;2021
288;Curitiba;Segurança;444;2021
289;Brasília;Habitação;51;2021
290;Curitiba;Habitação;180;2024
291;Brasília;Transporte;145;2021
292;Brasília;Educação;228;2023
293;Rio de Janeiro;Transporte;444;2021
294;Belo Horizonte;Educação;166;2024
295;São Paulo;Transporte;79;2021
296;São Paulo;Segurança;230;2025
297;Belo Horizonte;Educação;211;2024
298;Curitiba;Educação;468;2025
299;Belo Horizonte;Transporte;185;2024
300;Belo Horizonte;Transporte;477;2021
301;São Paulo;Transporte;113;2025
302;Curitiba;Educação;285;2025
303;São Paulo;Educação;444;2023
304;Curitiba;Segurança;211;2022
305;Rio de Janeiro;Saúde;279;2024
306;São Paulo;Transporte;475;2024
307;Belo Horizonte;Transporte;450;2022
308;Belo Horizonte;Habitação;333;2021
309;São Paulo;Transporte;344;2024
310;Rio de Janeiro;Segurança;83;2025
311;Brasília;Habitação;163;2022
312;Rio de Janeiro;Transporte;66;2024
313;Brasília;Educação;274;2023
314;Brasília;Transporte;244;2024
315;Curitiba;Segurança;267;2025
316;Rio de Janeiro;Educação;53;2023
317;Belo Horizonte;Transporte;209;2024
318;Rio de Janeiro;Transporte;298;2024
319;Rio de Janeiro;Segurança;359;2025
320;São Paulo;Saúde;62;2021
321;Belo Horizonte;Transporte;300;2025
322;Brasília;Habitação;365;2021
323;Curitiba;Segurança;450;2023
324;Rio de Janeiro;Saúde;452;2022
325;Brasília;Habitação;183;2023
326;Brasília;Transporte;262;2023
327;Brasília;Segurança;412;2024
328;São Paulo;Educação;299;2022
329;Belo Horizonte;Educação;270;2025
330;São Paulo;Transporte;39;2024
331;Rio de Janeiro;Saúde;403;2025
332;Brasília;Transporte;88;2021
333;São Paulo;Habitação;315;2022
334;Rio de Janeiro;Habitação;317;2023
335;Rio de Janeiro;Transporte;86;2021
336;Brasília;Saúde;453;2022
337;Curitiba;Educação;461;2021
338;Rio de Janeiro;Transporte;301;2022
339;Curitiba;Habitação;164;2022
340;Rio de Janeiro;Transporte;156;2023
341;Brasília;Habitação;285;2023
342;Belo Horizonte;Segurança;362;2023
343;São Paulo;Habitação;244;2024
344;Curitiba;Habitação;447;2024
345;Curitiba;Saúde;49;2023
346;Curitiba;Transporte;194;2024
347;Belo Horizonte;Transporte;23;2024
348;Belo Horizonte;Habitação;204;2025
349;Rio de Janeiro;Habitação;87;2022
350;São Paulo;Habitação;205;2022
351;São Paulo;Educação;119;2024
352;Rio de Janeiro;Saúde;162;2023
353;Rio de Janeiro;Transporte;301;2025
354;São Paulo;Habitação;489;2023
355;Belo Horizonte;Educação;420;2024
356;Belo Horizonte;Educação;497;2023
357;Belo Horizonte;Habitação;445;2022
358;Belo Horizonte;Transporte;207;2024
359;São Paulo;Transporte;468;2021
360;Belo Horizonte;Habitação;60;2024
361;São Paulo;Habitação;26;2025
362;Rio de Janeiro;Educação;435;2023
363;Brasília;Educação;233;2025
364;Belo Horizonte;Saúde;35;2023
365;Brasília;Saúde;248;2023
366;Brasília;Habitação;333;2024
367;Brasília;Saúde;470;2024
368;Belo Horizonte;Educação;329;2023
369;Rio de Janeiro;Transporte;87;2024
370;Belo Horizonte;Saúde;112;2022
371;São Paulo;Transporte;242;2022
372;Curitiba;Segurança;94;2022
373;Brasília;Segurança;299;2025
374;Curitiba;Saúde;269;2022
375;Belo Horizonte;Transporte;407;2023
376;São Paulo;Segurança;105;2021
377;São Paulo;Educação;279;2021
378;Curitiba;Educação;77;2024
379;São Paulo;Saúde;447;2023
380;Curitiba;Saúde;411;2023
381;Brasília;Habitação;59;2023
382;Brasília;Habitação;231;2024
383;Rio de Janeiro;Saúde;280;2022
384;Belo Horizonte;Saúde;103;2021
385;Belo Horizonte;Segurança;55;2022
386;Curitiba;Saúde;432;2025
387;Rio de Janeiro;Educação;255;2021
388;Rio de Janeiro;Educação;165;2023
389;Brasília;Habitação;173;2024
390;Rio de Janeiro;Transporte;453;2024
391;Belo Horizonte;Educação;65;2021
392;Belo Horizonte;Transporte;472;2022
393;Brasília;Segurança;381;2024
394;Belo Horizonte;Educação;299;2021
395;São Paulo;Transporte;395;2022
396;Belo Horizonte;Saúde;90;2024
397;Belo Horizonte;Educação;245;2023
398;Curitiba;Saúde;98;2022
399;Brasília;Saúde;118;2025
400;Curitiba;Saúde;275;2023
401;Brasília;Habitação;128;2024
402;Belo Horizonte;Habitação;308;2025
403;Rio de Janeiro;Habitação;81;2021
404;Brasília;Segurança;102;2021
405;Curitiba;Educação;287;2021
406;Rio de Janeiro;Saúde;148;2025
407;Rio de Janeiro;Segurança;304;2021
408;Belo Horizonte;Transporte;175;2021
409;Rio de Janeiro;Saúde;469;2021
410;Rio de Janeiro;Habitação;233;2024
411;Curitiba;Saúde;397;2024
412;Curitiba;Segurança;381;2025
413;Curitiba;Transporte;136;2023
414;Rio de Janeiro;Educação;485;2024
415;Belo Horizonte;Segurança;205;2024
416;São Paulo;Transporte;109;2022
417;São Paulo;Transporte;109;2025
418;São Paulo;Saúde;86;2021
419;Rio de Janeiro;Transporte;459;2024
420;Rio de Janeiro;Educação;238;2025
421;Brasília;Habitação;353;2024
422;São Paulo;Segurança;454;2023
423;Brasília;Saúde;339;2021
424;Brasília;Saúde;186;2024
425;Belo Horizonte;Transporte;37;2024
426;São Paulo;Educação;265;2024
427;Belo Horizonte;Habitação;22;2022
428;Belo Horizonte;Transporte;250;2023
429;Rio de Janeiro;Educação;320;2025
430;Curitiba;Transporte;213;2021
431;Curitiba;Educação;431;2023
432;Rio de Janeiro;Habitação;384;2024
433;Rio de Janeiro;Segurança;92;2024
434;Curitiba;Transporte;482;2025
435;Brasília;Transporte;201;2022
436;Brasília;Educação;410;2024
437;Belo Horizonte;Saúde;184;2023
438;São Paulo;Saúde;252;2024
439;Belo Horizonte;Saúde;202;2025
440;São Paulo;Habitação;332;2025
441;São Paulo;Educação;65;2025
442;Belo Horizonte;Saúde;28;2024
443;Belo Horizonte;Segurança;296;2025
444;Rio de Janeiro;Saúde;126;2025
445;São Paulo;Transporte;103;2022
446;Rio de Janeiro;Saúde;397;2022
447;Curitiba;Habitação;270;2025
448;São Paulo;Segurança;87;2023
449;Belo Horizonte;Educação;325;2025
450;Curitiba;Segurança;150;2023
451;São Paulo;Habitação;448;2021
452;Rio de Janeiro;Segurança;150;2024
453;Belo Horizonte;Segurança;320;2024
454;Brasília;Habitação;71;2025
455;Belo Horizonte;Segurança;74;2024
456;Rio de Janeiro;Segurança;243;2023
457;Brasília;Educação;352;2025
458;Brasília;Educação;356;2024
459;Belo Horizonte;Saúde;140;2021
460;Curitiba;Educação;76;2025
461;São Paulo;Transporte;74;2021
462;São Paulo;Habitação;312;2022
463;São Paulo;Habitação;497;2021
464;Belo Horizonte;Educação;216;2022
465;Rio de Janeiro;Transporte;158;2023
466;Brasília;Saúde;207;2022
467;Rio de Janeiro;Educação;282;2022
468;Rio de Janeiro;Habitação;190;2024
469;São Paulo;Segurança;216;2024
470;Belo Horizonte;Educação;378;2024
471;Rio de Janeiro;Transporte;231;2025
472;Belo Horizonte;Segurança;326;2024
473;São Paulo;Habitação;348;2021
474;Belo Horizonte;Saúde;263;2022
475;São Paulo;Habitação;185;2023
476;Rio de Janeiro;Educação;437;2021
477;Rio de Janeiro;Habitação;236;2025
478;São Paulo;Segurança;279;2022
479;Curitiba;Transporte;313;2025
480;São Paulo;Transporte;415;2022
481;Belo Horizonte;Transporte;500;2021
482;Rio de Janeiro;Saúde;230;2024
483;Rio de Janeiro;Saúde;218;2021
484;Brasília;Habitação;128;2025
485;Brasília;Transporte;57;2025
486;Belo Horizonte;Segurança;380;2023
487;Belo Horizonte;Transporte;419;2021
488;São Paulo;Transporte;353;2025
489;Rio de Janeiro;Saúde;143;2021
490;Curitiba;Saúde;132;2022
491;Curitiba;Educação;335;2021
492;Belo Horizonte;Habitação;222;2023
493;Brasília;Segurança;57;2024
494;São Paulo;Saúde;496;2024
495;Curitiba;Educação;224;2024
496;São Paulo;Segurança;283;2022
497;Brasília;Educação;456;2025
498;São Paulo;Transporte;248;2023
499;Curitiba;Educação;407;2022
500;Brasília;Educação;404;2021
501;Curitiba;Saúde;333;2024
502;São Paulo;Transporte;203;2023
503;Belo Horizonte;Transporte;32;2023
504;Curitiba;Saúde;346;2025
505;Curitiba;Saúde;434;2023
506;Rio de Janeiro;Transporte;175;2023
507;Brasília;Segurança;152;2021
508;Brasília;Habitação;255;2022
509;Rio de Janeiro;Saúde;102;2025
510;Belo Horizonte;Transporte;67;2021
511;Rio de Janeiro;Saúde;416;2025
512;São Paulo;Saúde;332;2024
513;São Paulo;Habitação;173;2025
514;Belo Horizonte;Saúde;118;2021
515;Curitiba;Habitação;438;2023
516;Brasília;Transporte;414;2024
517;Rio de Janeiro;Saúde;321;2024
518;Brasília;Transporte;482;2022
519;Brasília;Educação;291;2025
520;Rio de Janeiro;Transporte;449;2023
521;São Paulo;Saúde;38;2023
522;Curitiba;Segurança;394;2024
523;Belo Horizonte;Transporte;136;2022
524;Belo Horizonte;Segurança;350;2025
525;Brasília;Transporte;496;2024
526;Belo Horizonte;Transporte;32;2024
527;São Paulo;Segurança;119;2023
528;Brasília;Educação;294;2023
529;Curitiba;Segurança;307;2024
530;Curitiba;Segurança;345;2022
531;Curitiba;Segurança;172;2024
532;Belo Horizonte;Segurança;374;2021
533;Rio de Janeiro;Saúde;37;2024
534;Belo Horizonte;Transporte;423;2023
535;Rio de Janeiro;Segurança;477;2023
536;Curitiba;Segurança;241;2022
537;Rio de Janeiro;Segurança;229;2025
538;Rio de Janeiro;Saúde;170;2025
539;Rio de Janeiro;Educação;165;2023
540;São Paulo;Transporte;62;2025
541;São Paulo;Transporte;356;2021
542;Brasília;Saúde;433;2022
543;Rio de Janeiro;Saúde;351;2021
544;Belo Horizonte;Educação;167;2023
545;Belo Horizonte;Saúde;73;2024
546;Curitiba;Transporte;83;2025
547;Brasília;Saúde;134;2023
548;Rio de Janeiro;Transporte;418;2024
549;Rio de Janeiro;Transporte;142;2024
550;Belo Horizonte;Transporte;141;2024
551;Curitiba;Educação;430;2022
552;Belo Horizonte;Educação;254;2025
553;Curitiba;Saúde;196;2022
554;Belo Horizonte;Habitação;254;2021
555;Belo Horizonte;Educação;213;2022
556;Rio de Janeiro;Segurança;395;2022
557;Belo Horizonte;Educação;145;2023
558;São Paulo;Segurança;128;2021
559;Brasília;Segurança;471;2025
560;Brasília;Transporte;36;2025
561;São Paulo;Transporte;316;2024
562;Brasília;Habitação;450;2025
563;Brasília;Educação;183;2025
564;Curitiba;Transporte;422;2023
565;São Paulo;Transporte;430;2024
566;Rio de Janeiro;Habitação;235;2023
567;Curitiba;Transporte;115;2024
568;Brasília;Transporte;348;2024
569;Curitiba;Saúde;375;2023
570;Curitiba;Transporte;403;2022
571;Belo Horizonte;Segurança;409;2023
572;Belo Horizonte;Educação;171;2021
573;Brasília;Segurança;336;2021
574;Brasília;Educação;360;2023
575;Curitiba;Transporte;462;2021
576;Curitiba;Educação;260;2021
577;Brasília;Transporte;311;2021
578;Brasília;Educação;106;2024
579;Rio de Janeiro;Segurança;181;2025
580;São Paulo;Saúde;446;2022
581;Curitiba;Transporte;40;2023
582;Brasília;Educação;223;2024
583;São Paulo;Saúde;261;2024
584;Rio de Janeiro;Segurança;288;2023
585;Rio de Janeiro;Transporte;92;2021
586;Rio de Janeiro;Saúde;63;2022
587;Rio de Janeiro;Segurança;304;2024
588;Belo Horizonte;Educação;274;2024
589;São Paulo;Saúde;495;2024
590;Brasília;Habitação;81;2021
591;Rio de Janeiro;Habitação;366;2025
592;São Paulo;Segurança;349;2021
593;Belo Horizonte;Habitação;409;2021
594;Curitiba;Segurança;98;2025
595;São Paulo;Habitação;418;2025
596;Brasília;Saúde;265;2022
597;Belo Horizonte;Saúde;428;2021
598;São Paulo;Educação;147;2025
599;Belo Horizonte;Segurança;200;2025
600;Curitiba;Segurança;66;2022
601;Belo Horizonte;Saúde;159;2023
602;Belo Horizonte;Segurança;133;2023
603;Brasília;Transporte;476;2025
604;Brasília;Habitação;335;2022
605;Rio de Janeiro;Segurança;356;2025
606;Belo Horizonte;Habitação;300;2021
607;Brasília;Educação;356;2025
608;Belo Horizonte;Educação;422;2023
609;Curitiba;Educação;95;2024
610;São Paulo;Segurança;160;2022
611;Rio de Janeiro;Educação;85;2022
612;Curitiba;Habitação;412;2023
613;Belo Horizonte;Transporte;456;2025
614;Brasília;Educação;145;2022
615;Rio de Janeiro;Habitação;113;2022
616;Curitiba;Habitação;453;2021
617;Brasília;Habitação;232;2023
618;Rio de Janeiro;Educação;473;2025
619;Curitiba;Segurança;136;2025
620;São Paulo;Transporte;416;2025
621;Curitiba;Saúde;201;2022
622;Rio de Janeiro;Transporte;301;2025
623;Rio de Janeiro;Habitação;484;2022
624;São Paulo;Segurança;30;2021
625;São Paulo;Educação;422;2021
626;Rio de Janeiro;Saúde;317;2022
627;Rio de Janeiro;Saúde;190;2022
628;Rio de Janeiro;Transporte;433;2025
629;Curitiba;Habitação;409;2024
630;São Paulo;Habitação;124;2021
631;Brasília;Educação;225;2023
632;Belo Horizonte;Educação;21;2024
633;Brasília;Segurança;206;2023
634;São Paulo;Transporte;215;2022
635;São Paulo;Educação;249;2025
636;Brasília;Educação;162;2025
637;Belo Horizonte;Educação;268;2023
638;Curitiba;Habitação;182;2022
639;Belo Horizonte;Transporte;161;2021
640;São Paulo;Segurança;286;2023
641;Curitiba;Saúde;270;2022
642;Belo Horizonte;Transporte;125;2024
643;Brasília;Segurança;495;2022
644;Belo Horizonte;Educação;489;2023
645;Rio de Janeiro;Educação;316;2022
646;Rio de Janeiro;Educação;169;2022
647;Brasília;Saúde;158;2021
648;São Paulo;Transporte;82;2025
649;Rio de Janeiro;Habitação;307;2025
650;Belo Horizonte;Educação;208;2023
651;São Paulo;Segurança;88;2021
652;Curitiba;Habitação;44;2022
653;Rio de Janeiro;Saúde;97;2025
654;São Paulo;Transporte;435;2023
655;Brasília;Saúde;342;2024
656;Curitiba;Saúde;84;2024
657;Brasília;Segurança;84;2025
658;Brasília;Habitação;103;2021
659;Brasília;Segurança;198;2021
660;Curitiba;Educação;82;2023
661;Brasília;Transporte;481;2023
662;Rio de Janeiro;Transporte;323;2021
663;São Paulo;Saúde;497;2025
664;Belo Horizonte;Habitação;273;2021
665;Brasília;Educação;103;2021
666;Belo Horizonte;Saúde;465;2024
667;Rio de Janeiro;Transporte;163;2025
668;Curitiba;Segurança;194;2025
669;Belo Horizonte;Saúde;107;2022
670;Rio de Janeiro;Habitação;59;2022
671;Curitiba;Transporte;34;2021
672;Curitiba;Educação;351;2025
673;São Paulo;Saúde;126;2025
674;Curitiba;Saúde;54;2021
675;Rio de Janeiro;Habitação;316;2021
676;Rio de Janeiro;Transporte;109;2022
677;São Paulo;Segurança;95;2022
678;Curitiba;Segurança;143;2022
679;Belo Horizonte;Habitação;341;2023
680;São Paulo;Educação;160;2023
681;Curitiba;Habitação;101;2025
682;Belo Horizonte;Saúde;493;2021
683;Brasília;Transporte;445;2021
684;Rio de Janeiro;Habitação;217;2021
685;Belo Horizonte;Segurança;76;2025
686;Belo Horizonte;Saúde;431;2024
687;São Paulo;Transporte;153;2023
688;São Paulo;Habitação;187;2025
689;São Paulo;Educação;286;2023
690;São Paulo;Transporte;170;2023
691;Curitiba;Habitação;423;2021
692;Rio de Janeiro;Educação;53;2024
693;Curitiba;Habitação;444;2022
694;Belo Horizonte;Transporte;335;2021
695;São Paulo;Habitação;402;2023
696;São Paulo;Habitação;348;2021
697;Brasília;Segurança;31;2023
698;São Paulo;Habitação;221;2023
699;São Paulo;Saúde;493;2023
700;Belo Horizonte;Educação;65;2022
701;Belo Horizonte;Saúde;307;2021
702;Rio de Janeiro;Educação;414;2021
703;Belo Horizonte;Saúde;181;2021
704;Belo Horizonte;Habitação;209;2025
705;Belo Horizonte;Segurança;56;2021
706;Belo Horizonte;Saúde;492;2023
707;Curitiba;Educação;167;2024
708;São Paulo;Saúde;447;2022
709;Brasília;Segurança;417;2021
710;Belo Horizonte;Saúde;224;2023
711;São Paulo;Habitação;414;2024
712;São Paulo;Educação;396;2022
713;Belo Horizonte;Segurança;79;2021
714;Brasília;Habitação;135;2024
715;Curitiba;Transporte;171;2023
716;Belo Horizonte;Saúde;337;2021
717;Curitiba;Saúde;279;2022
718;Brasília;Saúde;304;2022
719;São Paulo;Educação;257;2024
720;Belo Horizonte;Educação;200;2024
721;São Paulo;Segurança;459;2024
722;Curitiba;Transporte;167;2021
723;Belo Horizonte;Educação;369;2022
724;Brasília;Saúde;51;2023
725;São Paulo;Educação;348;2023
726;Belo Horizonte;Habitação;152;2021
727;Rio de Janeiro;Segurança;109;2024
728;Belo Horizonte;Saúde;467;2022
729;Curitiba;Saúde;288;2025
730;Curitiba;Transporte;440;2025
731;Brasília;Transporte;237;2024
